Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	yes	29	Polanui	LLHS	JM	RB	MB	PLT	PLT171025	2024	Lahaina Town	2017-10-25	9:10	2	3	3	1	2	5	8		trades	PLT171025	26.8	34.2	6.39	96.7	8.07	15.00	15.90	15.20	15.37	0.031		0	1		0	0	0	PLT very little beach
yes	yes	no	no	29	Polanui	LLHS	JM	RB	MB	PPU	PPU171025	2025	Puamana	2017-10-25	9:35	2	3	3	1	2	5	8		trades	PPU171025	27.2	34.7	6.65	101.6	8.14	13.00	13.80	13.60	13.47	0.031		2	1		0	0	0	PPU very high tide and waves
yes	yes	no	no	29	Polanui	LLHS	JM	RB	MB	OLP	OLP171025	2072	Launiupoko	2017-10-25	9:55	2	3	3	1	2	5	8		trades	OLP171025	27.9	34.4	6.60	100.5	8.09	11.70	11.10	11.30	11.37	0.027		2	1		1	5	0	
yes	yes	no	no	29	Polanui	LLHS	JM	RB	MB	OSF	OSF171025	2027	Olowalu Pier	2017-10-25	10:15	2	3	3	1	2	5	8		trades	OSF171025	27.1	34.6	6.59	100.5	8.10	1.47	1.63	1.82	1.64	0.107		0	1		0	0	0	
yes	yes	no	no	30	Polanui	LLHS	GB	JM	KH	PFF	PFF171115	2022	505 Front St	2017-11-15	8:10	1	1	4	2	3	27	2	2	trades	PFF171115	25.9	35.2	6.46	96.7	8.11	4.31	4.89	4.68	4.63	0.063		0	0	3	4	2	0	PFF - moderate stream flow
yes	yes	no	no	30	Polanui	LLHS	GB	JM	KH	PLH	PLH171115	2023	Lindsey Hale	2017-11-15	8:35	1	1	4	2	3	27	2	2	trades	PLH171115	26.0	34.5	6.37	95.2	8.11	3.16	3.65	3.84	3.55	0.099		0	0	0	0	5	0	PLH - no stream flow
yes	yes	no	no	30	Polanui	LLHS	GB	JM	KH	PLT	PLT171115	2024	Lahaina Town	2017-11-15	8:55	1	1	4	2	3	27	2	2	trades	PLT171115	26.2	34.6	6.30	94.6	8.11	2.39	2.61	2.47	2.49	0.045		0	1		0	3	0	
yes	yes	no	no	30	Polanui	LLHS	GB	JM	KH	PPU	PPU171115	2025	Puamana	2017-11-15	9:15	1	1	4	2	3	27	2	2	trades	PPU171115	26.7	34.7	6.71	101.6	8.19	1.27	1.66	1.36	1.43	0.143		2	1		0	0	0	
yes	yes	no	no	30	Polanui	LLHS	GB	JM	KH	OLP	OLP171115	2072	Launiupoko	2017-11-15	9:40	1	1	4	2	3	27	2	2	trades	OLP171115	26.5	35.0	6.74	102	8.15	2.41	2.04	2.00	2.15	0.105		2	2		3	5	0	
yes	yes	no	no	30	Polanui	LLHS	GB	JM	KH	OSF	OSF171115	2027	Olowalu Pier	2017-11-15	10:05	1	1	4	2	3	27	2	2	trades	OSF171115	25.5	35.0	6.62	98.4	8.09	1.34	1.32	1.55	1.40	0.091		0	2		0	0	3	pH probe not placed in KCL leaving OLP
yes	yes	no	no	31	Polanui	LLHS	JM	RB	KH	PFF	PFF171206	2022	505 Front St	2017-12-06	8:15	2	3	3	1	2	19	2	2	trades	PFF171206	24.5	35.0	6.72	97.8	8.17	3.48	3.54	3.67	3.56	0.027		1	0	1	1	3	0	
yes	yes	no	yes	31	Polanui	LLHS	JM	RB	KH	PLH	PLH171206	2023	Lindsey Hale	2017-12-06	8:35	2	3	3	1	2	19	2	2	trades	PLH171206	23.8	34.6	6.67	95.7	8.15	11.90	12.00	12.90	12.27	0.045		1	0	0	0	0	0	
yes	yes	no	yes	31	Polanui	LLHS	JM	RB	KH	PLT	PLT171206	2024	Lahaina Town	2017-12-06	8:55	2	3	3	1	2	19	2	2	trades	PLT171206	23.6	34.3	6.59	94.2	8.13	15.90	16.90	16.00	16.27	0.034		0	1		0	1	0	
yes	yes	no	no	31	Polanui	LLHS	JM	RB	KH	PPU	PPU171206	2025	Puamana	2017-12-06	9:20	2	3	3	1	2	19	2	2	trades	PPU171206	24.6	34.6	6.98	101.5	8.21	1.78	2.26	2.10	2.05	0.119		1	1		0	5	0	
yes	yes	no	no	31	Polanui	LLHS	JM	RB	KH	OLP	OLP171206	2072	Launiupoko	2017-12-06	9:45	2	3	3	1	2	19	2	2	trades	OLP171206	24.7	34.9	6.95	101.6	8.19	1.86	1.69	1.85	1.80	0.053		1	0		9	17	0	
yes	yes	no	no	31	Polanui	LLHS	JM	RB	KH	OSF	OSF171206	2027	Olowalu Pier	2017-12-06	10:08	2	3	3	1	2	19	2	2	trades	OSF171206	24.6	34.8	6.96	101.4	8.16	1.39	1.41	1.33	1.38	0.030		0	1		0	3	0	
yes	yes	no	no	32	Polanui	LLHS	DR	RB	KH	PFF	PFF171220	2022	505 Front St	2017-12-20	8:20	1	1	4	2	3	3	8	2	undetermined	PFF171220	24.0	35.4	6.68	97.2	8.15	5.42	5.43	5.33	5.39	0.010		0	0	1	0	0	0	PFF - normal stream flow
yes	yes	no	yes	32	Polanui	LLHS	DR	RB	KH	PLH	PLH171220	2023	Lindsey Hale	2017-12-20	8:41	1	1	4	2	3	3	8	2	undetermined	PLH171220	24.1	34.9	6.59	96	8.14	7.31	6.83	6.69	6.94	0.047		0	1		0	3	0	PLH - no entry for flow
yes	yes	no	yes	32	Polanui	LLHS	DR	RB	KH	PLT	PLT171220	2024	Lahaina Town	2017-12-20	9:05	1	1	4	2	3	3	8	2	undetermined	PLT171220	23.9	34.5	6.61	95.5	8.13	10.30	10.00	9.88	10.06	0.022		0	0		7	1	0	
yes	yes	no	no	32	Polanui	LLHS	DR	RB	KH	PPU	PPU171220	2025	Puamana	2017-12-20	9:35	1	1	4	2	3	3	8	2	undetermined	PPU171220	24.4	34.9	6.85	100.2	8.17	5.09	5.19	5.75	5.34	0.067		2	1		0	0	0	
yes	yes	no	no	32	Polanui	LLHS	DR	RB	KH	OLP	OLP171220	2072	Launiupoko	2017-12-20	9:55	1	1	4	2	3	3	8	2	undetermined	OLP171220	24.6	35.0	6.77	99.5	8.13	4.96	4.59	4.94	4.83	0.043		1	0		2	1	0	OLP baby pond - people surveying
yes	yes	no	no	32	Polanui	LLHS	DR	RB	KH	OSF	OSF171220	2027	Olowalu Pier	2017-12-20	10:15	1	1	4	2	3	3	8	2	undetermined	OSF171220	24.6	35.0	6.35	93.2	8.08	2.48	2.89	2.56	2.64	0.082		0	1		0	0	0	
yes	yes	no	no	33	Polanui	LLHS	RB	KH	MB	PFF	PFF180110	2022	505 Front St	2018-01-10	8:27	2	3	3	1	2	24	0	0	trades	PFF180110	23.9	34.7	5.85	84.1	8.07	1.46	1.68	1.59	1.58	0.070		0	0	3	0	0	0	PFF - strong stream flow
yes	yes	no	no	33	Polanui	LLHS	RB	KH	MB	PLH	PLH180110	2023	Lindsey Hale	2018-01-10	8:45	2	3	3	1	2	24	0	0	trades	PLH180110	24.0	34.1	6.10	87.7	8.07	2.38	3.00	2.55	2.64	0.121		0	0	0	1	4	0	2 dogs
yes	yes	no	no	33	Polanui	LLHS	RB	KH	MB	PLT	PLT180110	2024	Lahaina Town	2018-01-10	9:07	2	3	3	1	2	24	0	0	trades	PLT180110	24.0	34.2	6.03	86.6	8.06	2.57	2.34	2.49	2.47	0.047		0	2		0	1	0	
yes	yes	no	no	33	Polanui	LLHS	RB	KH	MB	PPU	PPU180110	2025	Puamana	2018-01-10	9:33	2	3	3	1	2	24	0	0	trades	PPU180110	24.3	34.2	7.03	101.5	8.14	1.24	1.41	1.31	1.32	0.065		0	2		0	0	0	
yes	yes	no	no	33	Polanui	LLHS	RB	KH	MB	OLP	OLP180110	2072	Launiupoko	2018-01-10	9:52	2	3	3	1	2	24	0	0	trades	OLP180110	25.0	34.5	7.11	104	8.15	1.02	1.03	1.18	1.08	0.083		1	4		0	0	0	
yes	yes	no	no	33	Polanui	LLHS	RB	KH	MB	OSF	OSF180110	2027	Olowalu Pier	2018-01-10	10:19	2	3	3	1	2	24	0	0	trades	OSF180110	24.5	34.5	7.38	107.2	8.13	2.92	2.37	2.75	2.68	0.105		0	4		0	0	0	
yes	yes	no	no	34	Polanui	LLHS	JM	RB	KH	PFF	PFF180131	2022	505 Front St	2018-01-31	8:07	1	1	4	2	3	15	2	0	kona	PFF180131	23.8	33.4	6.38	91.8	8.09	10.50	11.40	11.50	11.13	0.049		1	2	3	0	5	0	PFF - moderate stream flow
yes	yes	no	yes	34	Polanui	LLHS	JM	RB	KH	PLH	PLH180131	2023	Lindsey Hale	2018-01-31	8:30	1	1	4	2	3	15	2	0	kona	PLH180131	23.8	33.8	6.31	91	8.09	11.80	12.20	12.90	12.30	0.045		0	1	0	0	2	0	PLH - had been flowing but stopped
yes	yes	no	no	34	Polanui	LLHS	JM	RB	KH	PLT	PLT180131	2024	Lahaina Town	2018-01-31	8:50	1	1	4	2	3	15	2	0	kona	PLT180131	24.0	34.1	6.60	95.7	8.13	4.15	4.83	4.74	4.57	0.081		0	3		0	1	0	
yes	yes	no	no	34	Polanui	LLHS	JM	RB	KH	PPU	PPU180131	2025	Puamana	2018-01-31	9:12	1	1	4	2	3	15	2	0	kona	PPU180131	24.1	34.1	6.94	100.6	8.18	3.79	4.31	4.61	4.24	0.098		1	2		0	4	0	
yes	yes	no	no	34	Polanui	LLHS	JM	RB	KH	OLP	OLP180131	2072	Launiupoko	2018-01-31	9:32	1	1	4	2	3	15	2	0	kona	OLP180131	24.7	34.7	6.85	100.7	8.15	3.35	3.17	4.45	3.66	0.189		1	2		0	4	0	
yes	yes	no	no	34	Polanui	LLHS	JM	RB	KH	OSF	OSF180131	2027	Olowalu Pier	2018-01-31	9:55	1	1	4	2	3	15	2	0	kona	OSF180131	24.6	34.6	6.92	101.5	8.07	4.46	5.28	4.69	4.81	0.088		0	2		0	0	0	
	yes	no	no	35	Polanui	LLHS	JM	RB	MB	PFF	PFF180221	2022	505 Front St	2018-02-21	8:10	2	3	3	2	2	6	8	0	neither	PFF180221	23.7	34.2	6.11	87.3	8.04	1.23	1.20	0.94	1.12	0.142		0	0	2	0	1	0	PFF - moderate flow 40 ft north of usual location
	yes	no	no	35	Polanui	LLHS	JM	RB	MB	PLH	PLH180221	2023	Lindsey Hale	2018-02-21	8:38	2	3	3	2	2	6	8	0	neither	PLH180221	23.8	34.1	6.49	93.1	8.07	3.39	4.58	3.19	3.72	0.202		0	0	0	0	7	0	PLH small amount standing water
	yes	no	no	35	Polanui	LLHS	JM	RB	MB	PLT	PLT180221	2024	Lahaina Town	2018-02-21	9:00	2	3	3	2	2	6	8	0	neither	PLT180221	24.3	33.9	6.28	90.8	8.08	5.88	5.36	5.01	5.42	0.081		0	1		4	4	0	PLT 1.5 inch of mucky silt on bottom
	yes	no	no	35	Polanui	LLHS	JM	RB	MB	PPU	PPU180221	2025	Puamana	2018-02-21	9:25	2	3	3	2	2	6	8	0	neither	PPU180221	24.4	33.4	7.10	102.5	8.19	3.12	3.53	4.67	3.77	0.213		3	1		0	5	0	
	yes	no	no	35	Polanui	LLHS	JM	RB	MB	OLP	OLP180221	2072	Launiupoko	2018-02-21	9:41	2	3	3	2	2	6	8	0	neither	OLP180221	24.7	34.5	7.08	103.4	8.15	2.62	2.89	2.76	2.76	0.049		1	0		0	7	0	
	yes	no	no	35	Polanui	LLHS	JM	RB	MB	OSF	OSF180221	2027	Olowalu Pier	2018-02-21	10:00	2	3	3	2	2	6	8	0	neither	OSF180221	24.7	34.6	6.92	101.3	8.07	2.33	2.64	2.83	2.60	0.097		1	1		0	2	0	
	yes	no	no	36	Polanui	LLHS	RB	MB	KH	PFF	PFF180314	2022	505 Front St	2018-03-14	8:15	2	1	3	2	2	27	8	0	neither	PFF180314	24.1	34.0	5.84	84.2	8.06	3.96	4.82	4.92	4.57	0.116		0	0	2	3	10	0	PFF - moderate flow, 2 dogs
	yes	no	yes	36	Polanui	LLHS	RB	MB	KH	PLH	PLH180314	2023	Lindsey Hale	2018-03-14	8:38	2	1	3	2	2	27	8	0	neither	PLH180314	24.2	33.7	5.97	86.1	8.04	6.34	5.25	7.82	6.47	0.199		0	0	0	3	7	0	PLH - no flow, 4 dogs
	yes	no	no	36	Polanui	LLHS	RB	MB	KH	PLT	PLT180314	2024	Lahaina Town	2018-03-14	9:00	2	1	3	2	2	27	8	0	neither	PLT180314	24.5	33.3	5.91	85.6	8.03	1.86	1.91	2.07	1.95	0.056		0	0		0	3	0	1 dog
	yes	no	no	36	Polanui	LLHS	RB	MB	KH	PPU	PPU180314	2025	Puamana	2018-03-14	9:36	2	1	3	2	2	27	8	0	neither	PPU180314	24.4	34.1	6.97	101.2	8.18	3.19	4.28	4.48	3.98	0.174		1	0		2	0	0	
	yes	no	no	36	Polanui	LLHS	RB	MB	KH	OLP	OLP180314	2072	Launiupoko	2018-03-14	9:54	2	1	3	2	2	27	8	0	neither	OLP180314	24.9	34.6	7.07	103.7	8.16	3.57	2.51	3.29	3.12	0.176		1	0		6	3	0	
	yes	no	no	36	Polanui	LLHS	RB	MB	KH	OSF	OSF180314	2027	Olowalu Pier	2018-03-14	10:23	2	1	3	2	2	27	8	0	neither	OSF180314	24.8	34.5	6.89	100.9	8.11	4.06	5.16	4.72	4.65	0.119		0	0		0	0	0	Increasing amounts of a brown algae on rocks in water surrounding pier
	yes	no	no	37	Polanui	LLHS	JM	RB	KH	PFF	PFF180404	2022	505 Front St	2018-04-04	8:25	1	3	4	1	3	19	8	2	Kona	PFF180404	25.5	32.3	6.38	93.7	8.05	10.70	11.60	10.90	11.07	0.043		0	3	1	0	1	0	Stream flowing
	yes	no	yes	37	Polanui	LLHS	JM	RB	KH	PLH	PLH180404	2023	Lindsey Hale	2018-04-04	8:45	1	3	4	1	3	19	8	2	Kona	PLH180404	25.5	32.5	6.26	91.9	8.09	14.90	15.80	14.50	15.07	0.044		0	4	1	2	2	0	Heavy rains carved sand by culvert and there was still a light flow 
	yes	no	yes	37	Polanui	LLHS	JM	RB	KH	PLT	PLT180404	2024	Lahaina Town	2018-04-04	9:05	1	3	4	1	3	19	8	2	Kona	PLT180404	25.9	33.1	6.41	95.2	8.10	8.30	9.30	9.41	9.00	0.068		0	4		0	0	0	
	yes	no	no	37	Polanui	LLHS	JM	RB	KH	PPU	PPU180404	2025	Puamana	2018-04-04	9:33	1	3	4	1	3	19	8	2	Kona	PPU180404	25.6	33.6	6.81	100.9	8.16	16.30	14.50	15.90	15.57	0.061		1	1		0	2	0	
	yes	no	no	37	Polanui	LLHS	JM	RB	KH	OLP	OLP180404	2072	Launiupoko	2018-04-04	9:55	1	3	4	1	3	19	8	2	Kona	OLP180404	25.7	34.2	6.80	101.1	8.12	8.09	7.86	8.97	8.31	0.071		1	3		0	11	0	
	yes	no	no	37	Polanui	LLHS	JM	RB	KH	OSF	OSF180404	2027	Olowalu Pier	2018-04-04	10:20	1	3	4	1	3	19	8	2	Kona	OSF180404	26.3	34.2	6.66	100.2	8.09	5.16	4.53	4.07	4.59	0.119		0	2		0	0	0	
	yes	no	no	38	Polanui	LLHS	MB			PFF	PFF180425	2022	505 Front St	2018-04-25	8:20	2	1	3	2	2	10	1	0	Trades	PFF180425	25.0	34.1	6.66	97.3	8.07	1.05	0.97	1.04	1.02	0.043		2	0		0	3	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours, stream flowing
	yes	no	no	38	Polanui	LLHS	MB			PLH	PLH180425	2023	Lindsey Hale	2018-04-25	8:45	2	1	3	2	2	10	1	0	Trades	PLH180425	25.4	33.7	6.60	96.8	8.09	2.21	2.13	2.03	2.12	0.042		1	0		3	2	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours, water flowing through tube from street forming 'pond' on beach but not going into ocean
	yes	no	no	38	Polanui	LLHS	MB			PLT	PLT180425	2024	Lahaina Town	2018-04-25	9:10	2	1	3	2	2	10	1	0	Trades	PLT180425	25.5	34.2	6.73	99.4	8.11	1.56	1.52	1.48	1.52	0.026		1	0		2	0	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours
	yes	no	no	38	Polanui	LLHS	MB			PPU	PPU180425	2025	Puamana	2018-04-25	9:45	2	1	3	2	2	10	1	0	Trades	PPU180425	25.7	33.4	6.94	102.2	8.19	1.73	1.54	1.81	1.69	0.082		3	0		1	0	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours
	yes	no	no	38	Polanui	LLHS	MB	CM		OLP	OLP180425	2072	Launiupoko	2018-04-25	10:19	2	1	3	2	2	10	1	0	Trades	OLP180425	26.3	34.1	6.95	103.9	8.18	5.16	5.37	4.59	5.04	0.080		1	1		30	23	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours
	yes	no	no	38	Polanui	LLHS	MB	CM		OSF	OSF180425	2027	Olowalu Pier	2018-04-25	10:50	2	1	3	2	2	10	1	0	Trades	OSF180425	26.3	33.6	7.30	108.3	8.20	3.09	2.99	2.96	3.01	0.023		0	3		1	0	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours
