Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RON	RON171027	2004	Oneloa Bay	2017-10-27	9:20	2	3	3	1	2	8	1	1	Trades	RON171027	27.0	35.0	6.79	104.1	8.18	1.22	1.28	1.33	1.28	0.043		3	1		2	15	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RFS	RFS171027	2005	Kapalua Bay	2017-10-27	9:53	2	3	3	1	2	8	1	1	Trades	RFS171027	26.7	34.8	6.99	106.6	8.21	2.91	2.60	2.37	2.63	0.103		1	1		33	60	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKO	RKO171027	2008	Ka'opala Bay	2017-10-27	10:23	2	3	3	1	2	8	1	1	Trades	RKO171027	25.9	34.3	6.84	102.6	8.13	26.60	27.00	26.10	26.57	0.017		2	1	0	0	0	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKV	RKV171027	2074	Kahana Village	2017-10-27	10:46	2	3	3	1	2	8	1	1	Trades	RKV171027	27.4	35.0	6.83	105.1	8.23	11.60	10.80	11.70	11.37	0.043		2	1	0	0	7	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, was water in stream bed though no stream flow while taking sample but ocean mixed a little with stream water at mouth of stream
yes	yes	no	yes	30	R2RN	LLHS	BB	AS	LH	RHL	RHL171117	2001	Honolua Bay	2017-11-17	7:50	1	1	4	2	3	29	8	4	Trades	RHL171117	24.3	30.6	6.39	90.9	8.15	20.90	21.10	21.50	21.17	0.014		0	0	2	1	1	0	Honolua sampling during heavy rain, stream flowing into ocean, double rainbox within the bay, saw bark, leaves, and large particles in otherwise clear water - may have caused the high NTU numbers
yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RFN	RFN171117	2003	Fleming North	2017-11-17	8:40	1	1	4	2	3	29	2	1	Trades	RFN171117	25.7	34.4	6.71	99.7	8.15	1.35	1.73	1.67	1.58	0.129		4	0	1	4	3	0	small flow from stream into ocean
yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RON	RON171117	2004	Oneloa Bay	2017-11-17	9:15	1	1	4	2	3	29	2	1	Trades	RON171117	26.0	35.0	6.66	100.2	8.19	0.65	0.65	0.69	0.66	0.035		3	2		1	0	0	
yes	yes	yes	no	30	R2RN	LLHS	BB	AS	LH	RFS	RFS171117	2005	Kapalua Bay	2017-11-17	9:50	1	1	4	2	3	29	2	0	Trades	RFS171117	26.3	34.1	6.86	103.1	8.16	2.77	2.66	2.27	2.57	0.102		1	1		40	62	0	
yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKO	RKO171117	2008	Ka'opala Bay	2017-11-17	10:15	1	1	4	2	3	29	2	0	Trades	RKO171117	25.3	34.0	6.81	100.5	8.16	17.30	16.70	17.20	17.07	0.019		1	0	0	0	2	0	RKO no water coming out of pipe
yes	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKV	RKV171117	2074	Kahana Village	2017-11-17	10:38	1	1	4	2	3	29	2	0	Trades	RKV171117	26.4	35.0	7.09	107.2	8.28	7.27	6.83	6.90	7.00	0.034		1	1		0	4	0	RKV waves irregular, turbulent but not that large, rocks exposed at about 1 foot underwater made for difficult footing even with reef shoes
yes	yes	no	yes	31	R2RN	LLHS	BB	AS	LH	RHL	RHL171208	2001	Honolua Bay	2017-12-08	7:50	2	3	3	1	2	21	0	0	Trades	RHL171208	23.2	34.5	6.78	96.2	8.14	23.90	28.50	25.20	25.87	0.092		1	0	1	0	0	0	very high tide when sampling, surf breaking outside reef
yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RFN	RFN171208	2003	Fleming North	2017-12-08	8:40	2	3	3	1	2	21	0	0	Trades	RFN171208	24.7	35.1	6.95	101.6	8.18	1.41	1.71	1.54	1.55	0.097		3	0	0	2	5	0	very high tide when sampling
yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RON	RON171208	2004	Oneloa Bay	2017-12-08	9:15	2	3	3	1	2	21	0	0	Trades	RON171208	25.1	35.1	6.91	101.8	8.18	0.59	0.69	0.64	0.64	0.078		3	1		3	6	0	very high tide when sampling
yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RFS	RFS171208	2005	Kapalua Bay	2017-12-08	9:45	2	3	3	1	2	21	0	0	Trades	RFS171208	25.4	35.1	7.03	104.0	8.19	1.17	1.60	1.45	1.41	0.155		1	1		36	60	0	very high tide when sampling
yes	yes	yes	no	31	R2RN	LLHS	BB	AS	LH	RKO	RKO171208	2008	Ka'opala Bay	2017-12-08	10:10	2	3	3	1	2	21	0	0	Trades	RKO171208	24.7	34.6	6.99	102.0	8.19	14.60	15.80	15.60	15.33	0.042		2	1		0	0	0	very high tide when sampling
yes	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RKV	RKV171208	2074	Kahana Village	2017-12-08	10:35	2	3	3	1	2	21	0	0	Trades	RKV171208	25.5	34.8	6.96	102.9	8.22	21.50	20.60	21.40	21.17	0.023		2	0		0	1	0	very high tide when sampling, little bait fish school 5 feet from sample site
yes	yes	no	yes	32	R2RN	LLHS	DR	BB	LH	RHL	RHL171222	2001	Honolua Bay	2017-12-22	7:59	1	1	4	2	3	6	8	4	Trades	RHL171222	22.6	28.5	7.04	96.1	8.17	21.20	21.30	20.00	20.83	0.035		1	1	3	0	2	0	moderate stream flow/mud, lots of organic matter from stream - organic smell
yes	yes	no	yes	32	R2RN	LLHS	DR	BB	LH	RFN	RFN171222	2003	Fleming North	2017-12-22	8:42	1	1	4	2	3	6	8	4	Trades	RFN171222	23.4	33.9	6.98	99.5	8.17	7.26	7.37	7.55	7.39	0.020		3	4	1	0	0	0	both streams flowing lightly, BIG waves, strong NE wind
yes	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RON	RON171222	2004	Oneloa Bay	2017-12-22	9:17	1	1	4	2	3	6	8	4	Trades	RON171222	24.0	35.1	6.93	100.7	8.19	4.55	4.11	4.26	4.31	0.052		2	3		0	0	0	dirtiest Dana has ever seen in this bay, lots of detritus in the water
yes	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RFS	RFS171222	2005	Kapalua Bay	2017-12-22	9:50	1	1	4	2	3	6	8	4	Trades	RFS171222	24.5	34.7	6.95	101.8	8.18	3.12	3.49	3.53	3.38	0.067		2	3		13	50	0	noticed detritus floating on water near shore, first turbidity reading 3.12
yes	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RKO	RKO171222	2008	Ka'opala Bay	2017-12-22	10:18	1	1	4	2	3	6	8	4	Trades	RKO171222	23.4	33.9	6.93	99.1	8.14	36.40	35.90	36.20	36.17	0.007		2	1	0	0	2	0	very muddy, stream does not appear to be flowing now but definitely has been flowing last 2 days
yes	yes	yes	no	32	R2RN	LLHS	DR	BB	LH	RKV	RKV171222	2074	Kahana Village	2017-12-22	10:43	1	1	4	2	3	6	8	4	Trades	RKV171222	24.3	33.7	7.18	103.9	8.19	16.50	17.00	16.60	16.70	0.016		3	1		0	0	0	lost bucket, Bruce got cut, rocks to blame. Moved spot to southmost entry. Discharged about 10 ml of 0.2 um filter into N-2 bottle by mistake. Rest went into N-1 bottle. Discharged 55 ml 0.7 um filter into N-2 bottle. Wrote an accident report on Bruce's injury.
yes	yes	no	yes	33	R2RN	LLHS	BB	LH	AS	RHL	RHL180112	2001	Honolua Bay	2018-01-12	7:55	2	3	3	1	2	26	0	0	Trades	RHL180112	22.8	33.1	6.82	95.4	8.07	59.60	65.30	68.80	64.57	0.072		1	0	2	0	0	0	stream flowing, outside surf
yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RFN	RFN180112	2003	Fleming North	2018-01-12	8:45	2	3	3	1	2	26	0	0	Trades	RFN180112	24.0	34.3	7.04	101.3	8.16	3.27	4.44	3.68	3.80	0.156		3	0		0	0	0	
yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RON	RON180112	2004	Oneloa Bay	2018-01-12	9:15	2	3	3	1	2	26	0	0	Trades	RON180112	24.5	34.7	7.02	102.4	8.17	1.04	1.00	1.17	1.07	0.083		3	1		0	4	0	
yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RFS	RFS180112	2005	Kapalua Bay	2018-01-12	9:40	2	3	3	1	2	26	0	0	Trades	RFS180112	24.8	33.9	7.04	102.6	8.16	2.83	2.41	2.57	2.60	0.081		1	1		6	14	0	outside surf, foam inside bay
yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RKO	RKO180112	2008	Ka'opala Bay	2018-01-12	10:10	2	3	3	1	2	26	0	0	Trades	RKO180112	24.4	33.8	6.99	101.1	8.15	16.80	17.70	18.60	17.70	0.051		1	1		0	0	0	outside surf
yes	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RKV	RKV180112	2074	Kahana Village	2018-01-12	10:30	2	3	3	1	2	26	0	0	Trades	RKV180112	25.4	34.5	7.20	106.3	8.23	7.79	9.47	8.58	8.61	0.098		1	1		4	14	0	dogs on beach, outside surf
yes	yes	no	yes	34	R2RN	LLHS	BB	LH	AS	RHL	RHL180202	2001	Honolua Bay	2018-02-02	7:55	1	1	4	2	3	17	8	0	Kona	RHL180202	23.5	34.5	6.74	96.7	8.13	13.00	12.80	13.10	12.97	0.012		0	0	0	0	0	0	rain the night before
yes	yes	no	yes	34	R2RN	LLHS	BB	LH	AS	RFN	RFN180202	2003	Fleming North	2018-02-02	8:35	1	1	4	2	3	17	8	0	Kona	RFN180202	24.0	34.8	6.91	100.0	8.19	6.82	7.13	6.98	6.98	0.022		1	0	0	4	3	0	rain the night before
yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RON	RON180202	2004	Oneloa Bay	2018-02-02	9:00	1	1	4	2	3	17	8	1	Kona	RON180202	24.0	34.8	6.93	100.5	8.18	0.90	0.95	0.82	0.89	0.074		2	0	0	4	1	0	rain the night before, light rain while there
yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RFS	RFS180202	2005	Kapalua Bay	2018-02-02	9:30	1	1	4	2	3	17	8	0	Kona	RFS180202	24.2	34.3	6.91	100.3	8.16	1.88	1.80	1.73	1.80	0.042		1	0	0	6	50	0	rain the night before
yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RKO	RKO180202	2008	Ka'opala Bay	2018-02-02	9:55	1	1	4	2	3	17	8	0	Kona	RKO180202	24.3	34.2	6.83	99.3	8.13	11.60	12.20	11.90	11.90	0.025		1	0	0	0	0	0	rain the night before, clouds clearing while there
yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RKV	RKV180202	2074	Kahana Village	2018-02-02	10:10	1	1	4	2	3	17	8	0	Kona	RKV180202	24.6	33.8	6.87	99.9	8.13	8.81	8.56	8.29	8.55	0.030		1	0	0	2	7	0	rain the night before, sun coming out while there
yes	yes	no	yes	35	R2RN	LLHS	LH	CM	CH	RHL	RHL180223	2001	Honolua Bay	2018-02-23	7:50	2	3	3	2	2	8	7	0	Kona	RHL180223	23.3	33.9	6.43	91.3	8.08	24.40	28.10	24.30	25.60	0.085		0	1	0	0	0	0	rained the night before but not the day of testing
yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RFN	RFN180223	2003	Fleming North	2018-02-23	8:40	2	3	3	2	2	8	7	0	Kona	RFN180223	24.0	34.4	7.06	101.7	8.15	2.28	2.39	2.51	2.39	0.048		2	0	0	2	0	0	rained the night before but not the day of testing
yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RON	RON180223	2004	Oneloa Bay	2018-02-23	9:05	2	3	3	2	2	8	7	0	Kona	RON180223	24.3	34.7	7.00	101.7	8.16	0.52	0.55	0.58	0.55	0.055		2	1	0	7	3	0	rained the night before but not the day of testing
yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RFS	RFS180223	2005	Kapalua Bay	2018-02-23	9:35	2	3	3	2	2	8	7	0	Kona	RFS180223	24.5	33.7	7.16	103.7	8.14	0.97	0.81	0.92	0.90	0.091		1	0	0	12	35	0	rained the night before but not the day of testing
yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RKO	RKO180223	2008	Ka'opala Bay	2018-02-23	10:00	2	3	3	2	2	8	7	0	Kona	RKO180223	24.3	33.8	6.84	98.9	8.09	9.80	9.95	10.10	9.95	0.015		1	0	0	0	1	0	rained the night before but not the day of testing
yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RKV	RKV180223	2074	Kahana Village	2018-02-23	10:20	2	3	3	2	2	8	7	0	Kona	RKV180223	25.1	34.0	7.17	105.1	8.15	4.65	5.13	5.94	5.24	0.124		1	1	0	0	9	0	rained the night before but not the day of testing
yes	yes	no	yes	36	R2RN	LLHS	DR	BR	CH	RHL	RHL180316	2001	Honolua Bay	2018-03-16	7:48	2	1	3	2	2	1	0	1	Kona	RHL180316	23.4	33.5	6.09	86.5	8.10	10.10	10.00	10.50	10.20	0.026		0	0	2	0	2	0	moderate to light stream flow
yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RFN	RFN180316	2003	Fleming North	2018-03-16	8:35	2	1	3	2	2	1	0	1	Kona	RFN180316	24.2	34.6	6.94	100.4	8.17	1.53	1.51	1.53	1.52	0.008		2	0	0	1	3	0	no stream flow
yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RON	RON180316	2004	Oneloa Bay	2018-03-16	9:05	2	1	3	2	2	1	0	1	Kona	RON180316	24.7	34.7	7.09	103.7	8.18	0.48	0.42	0.44	0.45	0.068		1	0		8	15	0	water very clear
yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RFS	RFS180316	2005	Kapalua Bay	2018-03-16	9:35	2	1	3	2	2	1	0	1	Kona	RFS180316	25.1	32.2	7.14	103.4	8.14	1.04	1.17	1.16	1.12	0.064		0	0		50	50	0	lots of people within sampling vicinity
yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RKO	RKO180316	2008	Ka'opala Bay	2018-03-16	10:01	2	1	3	2	2	1	1	1	Kona	RKO180316	25.3	33.4	6.69	98.1	8.10	7.25	6.89	6.98	7.04	0.027		1	0		5	2	0	started clouding over
yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RKV	RKV180316	2074	Kahana Village	2018-03-16	10:25	2	1	3	2	2	1	1	1	Kona	RKV180316	25.8	33.6	6.82	100.8	8.13	4.21	4.16	4.20	4.19	0.006		0	1		1	9	0	clouding over
yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RHL	RHL180406	2001	Honolua Bay	2018-04-06	7:50	1	3	4	1	3	21	8	1	Trades	RHL180406	23.8	34.4	6.54	92.9	8.19	3.22	3.10	2.94	3.09	0.046		0	0	1	2	2	0	rain in last 24 hours, light rain while testing, car testing area wet, stream flowing but not sure how much from data sheet
yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RFN	RFN180406	2003	Fleming North	2018-04-06	8:30	1	3	4	1	3	21	8	1	Trades	RFN180406	24.3	34.0	6.96	100.5	8.17	5.90	5.67	6.82	6.13	0.099		1	3	0	0	0	0	rain in last 24 hours, light rain while testing, car testing area wet, stream not flowing, leaves in water
yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RON	RON180406	2004	Oneloa Bay	2018-04-06	9:05	1	3	4	1	3	21	8	1	Trades	RON180406	24.5	34.4	6.98	101.7	8.19	0.67	0.52	0.46	0.55	0.197		2	6		0	6	0	rain in last 24 hours, light rain while testing, car testing area wet
yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RFS	RFS180406	2005	Kapalua Bay	2018-04-06	9:30	1	3	4	1	3	21	8	1	Trades	RFS180406	25.0	32.1	6.76	98.0	8.12	0.88	0.91	0.77	0.85	0.086		0	3		15	45	0	rain in last 24 hours, mist while testing, car testing area wet
yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RKO	RKO180406	2008	Ka'opala Bay	2018-04-06	9:50	1	3	4	1	3	21		0	Trades	RKO180406	25.6	34.2	6.04	89.4	8.11	3.89	3.46	3.33	3.56	0.082		0	1	0	0	0	0	rain in last 24 hours, sunny while testing, stream not flowing, amount of cloud cover unknown
yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RKV	RKV180406	2074	Kahana Village	2018-04-06	10:10	1	3	4	1	3	21		0	Trades	RKV180406	25.7	33.8	6.75	99.8	8.13	1.13	1.31	1.33	1.26	0.088		0	2		0	0	0	rain in last 24 hours, sunny while testing, amount of cloud cover unknown
yes	yes	no	yes	38	R2RN	LLHS	BB	CH	LH	RHL	RHL180427	2001	Honolua Bay	2018-04-27	7:55	2	1	3	2	2	12	8	0	Trades	RHL180427	24.1	31.3	6.47	92.0	8.14	24.80	25.70	23.50	24.67	0.045		0	1		0	1	0	rained in last 24 hours, walk to sample site was muddy, but no rain when sampling, stream flowing into ocean at RHL
yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RFN	RFN180427	2003	Fleming North	2018-04-27	8:30	2	1	3	2	2	12	8	0	Trades	RFN180427	24.7	34.1	6.89	100.5	8.16	1.19	1.35	1.23	1.26	0.066		1	0		0	2	0	rained in last 24 hours, but no rain when sampling, stream not flowing into ocean at RFN
yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RON	RON180427	2004	Oneloa Bay	2018-04-27	9:00	2	1	3	2	2	12	8	0	Trades	RON180427	24.9	34.1	6.92	101.4	8.16	0.66	0.46	0.53	0.55	0.185		2	1		3	3	0	rained in last 24 hours, but no rain when sampling
yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RFS	RFS180427	2005	Kapalua Bay	2018-04-27	9:25	2	1	3	2	2	12	8	0	Trades	RFS180427	24.9	31.1	6.52	93.9	8.05	1.75	0.85	1.64	1.41	0.347		0	0		16	9	0	rained in last 24 hours, but no rain when sampling
yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RKO	RKO180427	2008	Ka'opala Bay	2018-04-27	9:52	2	1	3	2	2	12	8	0	Trades	RKO180427	25.0	32.4	6.55	95.1	8.10	5.40	4.98	4.84	5.07	0.057		0	0		6	3	0	rained in last 24 hours, but no rain when sampling,  1 fisherman with 2 poles here at RKO
yes	yes	no	no	38	R2RN	LLHS	BB	CH	LH	RKV	RKV180427	2074	Kahana Village	2018-04-27	10:10	2	1	3	2	2	12	8	0	Trades	RKV180427	25.4	32.3	6.72	98.0	8.15	3.49	2.97	3.70	3.39	0.111		0	0		0	3	0	rained in last 24 hours, but no rain when sampling
yes	yes	no	yes	39	R2RN	LLHS	BB	LH	CM	RHL	RHL180518	2001	Honolua Bay	2018-05-18	8:05	1	3	4	1	3	4	6	1	Trades	RHL180518	25.3	33.6	6.22	91.2	8.13	7.08	7.20	7.49	7.26	0.029		0	2	2	5	9	0	rained in last 24 hours, rain sprinkles while there
yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RFN	RFN180518	2003	Fleming North	2018-05-18	8:40	1	3	4	1	3	4	5		Trades	RFN180518	25.3	33.8	6.83	100.3	8.19	0.72	0.72	0.69	0.71	0.024		2	4		0	2	0	rained in last 24 hours, streams not flowing
yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RON	RON180518	2004	Oneloa Bay	2018-05-18	9:11	1	3	4	1	3	4	4		Trades	RON180518	25.7	34.3	7.09	105.3	8.22	0.41	0.37	0.34	0.37	0.094		2	4		0	8	0	rained in last 24 hours, 2 dogs on beach
yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RFS	RFS180518	2005	Kapalua Bay	2018-05-18	9:37	1	3	4	1	3	4	4		Trades	RFS180518	26.5	31.7	6.59	97.8	8.07	1.09	1.16	1.07	1.11	0.043		0	3		50	80	0	rained in last 24 hours
yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RKO	RKO180518	2008	Ka'opala Bay	2018-05-18	10:04	1	3	4	1	3	4	2		Trades	RKO180518	26.4	33.6	6.72	100.6	8.17	4.70	5.02	4.68	4.80	0.040		0	0		0	3	0	rained in last 24 hours, no water flowing out pipe
yes	yes	no	no	39	R2RN	LLHS	BB	LH	CM	RKV	RKV180518	2074	Kahana Village	2018-05-18	10:23	1	3	4	1	3	4	2		Trades	RKV180518	26.4	33.5	6.52	97.5	8.16	1.73	2.27	1.99	2.00	0.135		0	1		1	4	0	rained in last 24 hours
	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RHL	RHL180608	2001	Honolua Bay	2018-06-08	7:51	2	1	3	2	2	25	1	1	Trades	RHL180608	25.1	31.8	6.37	92.0	8.07	15.50	14.80	15.20	15.17	0.023		0	1	1	0	1	0	not sure about rain in last 24 hours, but sprinkles while there
	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RFN	RFN180608	2003	Fleming North	2018-06-08	8:30	2	1	3	2	2	25	0		Trades	RFN180608	25.6	33.8	6.80	100.2	8.10	6.07	6.69	6.11	6.29	0.055		1	1	0	2	4	0	not sure about rain in last 24 hours
	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RON	RON180608	2004	Oneloa Bay	2018-06-08	9:00	2	1	3	2	2	25	4	1	Trades	RON180608	25.6	34.3	6.81	100.7	8.11	0.37	0.36	0.35	0.36	0.028		2	3		0	0	0	not sure about rain in last 24 hours, but sprinkles while there, turtle came onto beach while there
	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RFS	RFS180608	2005	Kapalua Bay	2018-06-08	9:35	2	1	3	2	2	25			Trades	RFS180608	26.1	32.5	6.78	99.9	8.03	2.05	2.01	1.63	1.90	0.122		0	1		18	26	0	not sure about rain in last 24 hours, guard reported DOH tested there the day before, turbidity tested a 4th time for value '2.10' 
	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RKO	RKO180608	2008	Ka'opala Bay	2018-06-08	9:56	2	1	3	2	2	25	5	1	Trades	RKO180608	26.0	33.1	6.61	97.5	8.04	16.10	17.70	18.50	17.43	0.070		1	0	0	0	3	0	not sure about rain in last 24 hours, but sprinkles while there, dog on beach and in water while there
	yes	no	no	40	R2RN	LLHS	BB	CH	CM	RKV	RKV180608	2074	Kahana Village	2018-06-08	10:18	2	1	3	2	2	25			Trades	RKV180608	26.3	33.7	6.67	99.2	8.08	15.00	17.20	18.60	16.93	0.107		0	1		1	2	0	not sure about rain in last 24 hours, large slow-settling particles in turbitiy sample, turbidity tested a 4th time for value '17.9' 
	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RHL	RHL180629	2001	Honolua Bay	2018-06-29	7:40	1	3	4	1	3	16	1		Trades	RHL180629	25.1	33.1	6.11	89.4	8.16	2.30	2.05	2.06	2.14	0.066		0	1	2	0	3	0	Shark warning sign posted
	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RON	RON180629	2004	Oneloa Bay	2018-06-29	8:30	1	3	4	1	3	16	1		Trades	RON180629	25.2	34.4	6.97	103.0	8.19	0.41	0.38	0.40	0.40	0.039		3	4		0	2	0	
	yes	no	no	41	R2RN	LLHS	BB	LH	AS	RFS	RFS180629	2005	Kapalua Bay	2018-06-29	9:00	1	3	4	1	3	16	1		Trades	RFS180629	25.4	31.9	6.86	100.2	8.11	4.47	3.68	3.32	3.82	0.154		0	2		24	35	0	
