OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	MonitoringLocationIdentifier	ResultIdentifier	CharacteristicName	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160811:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870527152	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKS200128:SR:WB:	HUIWAIOLA_WQX-RKS	STORET-870655256	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MBS180307:SR:WB:	HUIWAIOLA_WQX-MBS	STORET-870638034	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU180314:SR:WB:	HUIWAIOLA_WQX-PPU	STORET-870638322	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160714:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-870527104	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB161213:SR:WB:	HUIWAIOLA_WQX-RAB	STORET-870527416	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB160811:SR:WB:	HUIWAIOLA_WQX-OPB	STORET-870527140	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB180315:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-870638394	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM161117:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-870527320	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WWA180406:SR:WB:	HUIWAIOLA_WQX-WWA	STORET-870639258	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA191008:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870651693	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH200108:SR:WB:	HUIWAIOLA_WQX-PLH	STORET-870654812	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160906:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870527224	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF200129:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-870655292	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RFN180316:SR:WB:	HUIWAIOLA_WQX-RFN	STORET-870638442	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA180313:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870638274	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPO190322:SR:WB:	HUIWAIOLA_WQX-WPO	STORET-870647582	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKV190315:SR:WB:	HUIWAIOLA_WQX-RKV	STORET-870647342	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKV200131:SR:WB:	HUIWAIOLA_WQX-RKV	STORET-870655412	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NSB190321:SR:WB:	HUIWAIOLA_WQX-NSB	STORET-870647498	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MMB191120:SR:WB:	HUIWAIOLA_WQX-MMB	STORET-870652742	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKV200110:SR:WB:	HUIWAIOLA_WQX-RKV	STORET-870654956	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP161117:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870527368	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP161116:SR:WB:	HUIWAIOLA_WQX-OLP	STORET-870527308	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPO190726:SR:WB:	HUIWAIOLA_WQX-WPO	STORET-870650274	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP180315:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870638418	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP191010:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870651801	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON190607:SR:WB:	HUIWAIOLA_WQX-RON	STORET-870649130	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO191010:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-870651765	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160825:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870527200	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MBS180404:SR:WB:	HUIWAIOLA_WQX-MBS	STORET-870638982	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WWA180309:SR:WB:	HUIWAIOLA_WQX-WWA	STORET-870638178	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WKD200117:SR:WB:	HUIWAIOLA_WQX-WKD	STORET-870655172	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON180518:SR:WB:	HUIWAIOLA_WQX-RON	STORET-870640638	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKS191105:SR:WB:	HUIWAIOLA_WQX-KKS	STORET-870652346	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161129:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870527380	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM170105:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-870527451	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP190516:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870648686	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RNS200128:SR:WB:	HUIWAIOLA_WQX-RNS	STORET-870655232	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA200128:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870655280	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB200109:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-870654872	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU161116:SR:WB:	HUIWAIOLA_WQX-PPU	STORET-870527296	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKP191017:SR:WB:	HUIWAIOLA_WQX-NKP	STORET-870652040	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP180405:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870639114	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB161117:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-870527344	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB190404:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-870647726	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO170105:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-870527462	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NSB190905:SR:WB:	HUIWAIOLA_WQX-NSB	STORET-870651105	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160823:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870527164	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB160906:SR:WB:	HUIWAIOLA_WQX-RAB	STORET-870527212	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON190315:SR:WB:	HUIWAIOLA_WQX-RON	STORET-870647306	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MBS180418:SR:WB:	HUIWAIOLA_WQX-MBS	STORET-870639438	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA200618:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870657195	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161115:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870527272	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161116:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-870527284	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB170105:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-870527473	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MMB180307:SR:WB:	HUIWAIOLA_WQX-MMB	STORET-870638010	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM161117:SR:WB:	HUIWAIOLA_WQX-OMM	STORET-870527332	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP170104:SR:WB:	HUIWAIOLA_WQX-OLP	STORET-870527440	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160810:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-870527116	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RFS200131:SR:WB:	HUIWAIOLA_WQX-RFS	STORET-870655388	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM161201:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-870527392	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKO171219:SR:WB:	HUIWAIOLA_WQX-KKO	STORET-870531180	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160810:SR:WB:	HUIWAIOLA_WQX-OLP	STORET-870527128	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU161019:SR:WB:	HUIWAIOLA_WQX-PPU	STORET-870527247	Nitrate + Nitrite	Method Detection Level	0.1	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160713:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-870527092	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB161115:SR:WB:	HUIWAIOLA_WQX-RAB	STORET-870527260	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MBS171220:SR:WB:	HUIWAIOLA_WQX-MBS	STORET-870531312	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA170103:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870527428	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB160825:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-870527188	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPO191122:SR:WB:	HUIWAIOLA_WQX-WPO	STORET-870653029	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160825:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-870527176	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MMB180418:SR:WB:	HUIWAIOLA_WQX-MMB	STORET-870639414	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON190517:SR:WB:	HUIWAIOLA_WQX-RON	STORET-870648710	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP180517:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870640530	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPO180323:SR:WB:	HUIWAIOLA_WQX-WPO	STORET-870638766	Ammonium	Method Detection Level	0.28	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160614:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-870527068	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB161117:SR:WB:	HUIWAIOLA_WQX-OPB	STORET-870527356	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP161201:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-870527404	Ammonium	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB180719:SR:WB:	HUIWAIOLA_WQX-OPB	STORET-870642137	Ammonium	Method Detection Level	0.28	ug/l	STORET
