OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	MonitoringLocationIdentifier	ResultIdentifier	CharacteristicName	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160823:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-864974182	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM161117:SR:WB:	HUIWAIOLA_WQX-OMM	STORET-864975463	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB161213:SR:WB:	HUIWAIOLA_WQX-RAB	STORET-864975739	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP161117:SR:WB:	HUIWAIOLA_WQX-OPP	STORET-864975499	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM160908:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-864974457	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160810:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-864974002	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO170105:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-864976061	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB161117:SR:WB:	HUIWAIOLA_WQX-OPB	STORET-864975487	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160810:SR:WB:	HUIWAIOLA_WQX-OLP	STORET-864974038	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB161117:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-864975475	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160713:SR:WB:	HUIWAIOLA_WQX-PFF	STORET-864973619	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161129:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-864975559	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB161115:SR:WB:	HUIWAIOLA_WQX-RAB	STORET-864975332	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161115:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-864975356	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM161117:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-864975439	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM170105:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-864976050	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160614:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-864973259	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB160825:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-864974301	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB160811:SR:WB:	HUIWAIOLA_WQX-OPB	STORET-864974110	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP161116:SR:WB:	HUIWAIOLA_WQX-OLP	STORET-864975416	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160714:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-864973691	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM161201:SR:WB:	HUIWAIOLA_WQX-OPM	STORET-864975643	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160825:SR:WB:	HUIWAIOLA_WQX-OCO	STORET-864974277	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB170105:SR:WB:	HUIWAIOLA_WQX-OUB	STORET-864976083	Ammonium	Method Detection Level	<1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160906:SR:WB:	HUIWAIOLA_WQX-RWA	STORET-864974385	Ammonium	Method Detection Level	<1.5	ug/l	STORET
