OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	ActivityStartDate	ActivityStartTime/Time	ActivityStartTime/TimeZoneCode	MonitoringLocationIdentifier	ResultIdentifier	DataLoggerLine	ResultDetectionConditionText	MethodSpecificationName	CharacteristicName	ResultSampleFractionText	ResultMeasureValue	ResultMeasure/MeasureUnitCode	MeasureQualifierCode	ResultStatusIdentifier	StatisticalBaseCode	ResultValueTypeName	ResultWeightBasisText	ResultTimeBasisText	ResultTemperatureBasisText	ResultParticleSizeBasisText	PrecisionValue	DataQuality/BiasValue	ConfidenceIntervalValue	UpperConfidenceLimitValue	LowerConfidenceLimitValue	ResultCommentText	USGSPCode	ResultDepthHeightMeasure/MeasureValue	ResultDepthHeightMeasure/MeasureUnitCode	ResultDepthAltitudeReferencePointText	ResultSamplingPointName	BiologicalIntentName	BiologicalIndividualIdentifier	SubjectTaxonomicName	UnidentifiedSpeciesIdentifier	SampleTissueAnatomyName	GroupSummaryCountWeight/MeasureValue	GroupSummaryCountWeight/MeasureUnitCode	CellFormName	CellShapeName	HabitName	VoltismName	TaxonomicPollutionTolerance	TaxonomicPollutionToleranceScaleText	TrophicLevelName	FunctionalFeedingGroupName	TaxonomicDetailsCitation/ResourceTitleName	TaxonomicDetailsCitation/ResourceCreatorName	TaxonomicDetailsCitation/ResourceSubjectText	TaxonomicDetailsCitation/ResourcePublisherName	TaxonomicDetailsCitation/ResourceDate	TaxonomicDetailsCitation/ResourceIdentifier	FrequencyClassInformationUrl	ResultAnalyticalMethod/MethodIdentifier	ResultAnalyticalMethod/MethodIdentifierContext	ResultAnalyticalMethod/MethodName	ResultAnalyticalMethod/MethodUrl	ResultAnalyticalMethod/MethodQualifierTypeName	MethodDescriptionText	LaboratoryName	AnalysisStartDate	AnalysisStartTime/Time	AnalysisStartTime/TimeZoneCode	AnalysisEndDate	AnalysisEndTime/Time	AnalysisEndTime/TimeZoneCode	ResultLaboratoryCommentCode	ResultLaboratoryCommentText	ResultDetectionQuantitationLimitUrl	LaboratoryAccreditationIndicator	LaboratoryAccreditationAuthorityName	TaxonomistAccreditationIndicator	TaxonomistAccreditationAuthorityName	LabSamplePreparationUrl	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM160714:SR:WB:	2016-07-14	07:38:00	HAST	HUIWAIOLA_WQX-OPM	STORET-864973675			as P	Total Phosphorus, mixed forms	Filtered, field	13.63	ug/l		Final		Actual																																						4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160630:SR:WB:	2016-06-30	09:15:00	HAST	HUIWAIOLA_WQX-OPP	STORET-864973543			as P	Total Phosphorus, mixed forms	Filtered, field	12.42	ug/l		Final		Actual																																						4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH170308:SR:WB:	2017-03-08	08:59:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864976615			as P	Orthophosphate	Filtered, field	8.90	ug/l		Final		Actual																																						365.5	USEPA	Orthophosphate in Water by Colorimetry			https://www.nemi.gov/methods/method_summary/7231/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB160726:SR:WB:	2016-07-26	08:12:00	HAST	HUIWAIOLA_WQX-RAB	STORET-864973770			as N	Total Nitrogen, mixed forms	Filtered, field	87.42	ug/l		Final		Actual																																						4500-N	APHA	4500 N ~ 4500-N Nitrogen																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF160907:FM:PS:DO:	2016-09-07	09:39:00	HAST	HUIWAIOLA_WQX-OSF	STORET-864974436				Dissolved oxygen (DO)		6.55	mg/l		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU170125:SR:WB:	2017-01-25	09:45:00	HAST	HUIWAIOLA_WQX-PPU	STORET-864976210			as N	Ammonium	Filtered, field	4.72	ug/l		Final		Actual																																						350.1	USEPA	Ammonia Nitrogen by Colorimetry			https://www.nemi.gov/methods/method_summary/5405/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160907:FM:PS:PH:	2016-09-07	09:10:00	HAST	HUIWAIOLA_WQX-OLP	STORET-864974427				pH		7.97	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RNS170214:FM:PS:TS:	2017-02-14	07:52:00	HAST	HUIWAIOLA_WQX-RNS	STORET-864976307				Temperature, water		24.2	deg C		Final		Actual																																						2550	APHA	Temperature of Water by Thermometer																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM160825:FM:PS:PH:	2016-08-25	07:20:00	HAST	HUIWAIOLA_WQX-OPM	STORET-864974259				pH		7.95	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160824:SR:WB:	2016-08-24	09:38:00	HAST	HUIWAIOLA_WQX-OLP	STORET-864974239				Silicate	Filtered, field	103.05	ug/l		Final		Actual																																						366	USEPA	Silicate by Colorimetry			https://www.nemi.gov/methods/method_summary/4661/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160616:SR:WB:	2016-06-16	10:00:00	HAST	HUIWAIOLA_WQX-OPP	STORET-864973366			as N	Nitrate + Nitrite	Filtered, field	3.26	ug/l		Final		Actual																																						353.4	USEPA	Determination of Nitrite and Nitrate			https://www.nemi.gov/methods/method_summary/7225/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH161019:FM:PS:PH:	2016-10-19	08:51:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864974966				pH		8.03	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161116:SR:WB:	2016-11-16	08:16:00	HAST	HUIWAIOLA_WQX-PFF	STORET-864975368		Below Method Detection Limit	as N	Ammonium	Filtered, field				Final		Actual																																						350.1	USEPA	Ammonia Nitrogen by Colorimetry			https://www.nemi.gov/methods/method_summary/5405/										https://www.waterqualitydata.us/data/providers/STORET/organizations/HUIWAIOLA_WQX/activities/HUIWAIOLA_WQX-PFF161116%3ASR%3AWB%3A/results/864975368/resdetectqntlmts						STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM170330:SR:WB:	2017-03-30	08:05:00	HAST	HUIWAIOLA_WQX-OMM	STORET-864976913			as N	Total Nitrogen, mixed forms	Filtered, field	64.89	ug/l		Final		Actual																																						4500-N	APHA	4500 N ~ 4500-N Nitrogen																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB160616:FM:PS:TS:	2016-06-16	09:17:00	HAST	HUIWAIOLA_WQX-OUB	STORET-864973333				Salinity		28.1	ppt		Final		Actual																																						8160	HACH	Conductivity in Water by Direct Measurement																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLT161019:SR:WB:	2016-10-19	09:13:00	HAST	HUIWAIOLA_WQX-PLT	STORET-864974984			as N	Ammonium	Filtered, field	9.78	ug/l		Final		Actual																																						350.1	USEPA	Ammonia Nitrogen by Colorimetry			https://www.nemi.gov/methods/method_summary/5405/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH170215:SR:WB:	2017-02-15	08:45:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864976399			as P	Orthophosphate	Filtered, field	10.03	ug/l		Final		Actual																																						365.5	USEPA	Orthophosphate in Water by Colorimetry			https://www.nemi.gov/methods/method_summary/7231/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160728:SR:WB:	2016-07-28	07:55:00	HAST	HUIWAIOLA_WQX-OCO	STORET-864973877			as N	Total Nitrogen, mixed forms	Filtered, field	64.44	ug/l		Final		Actual																																						4500-N	APHA	4500 N ~ 4500-N Nitrogen																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB170214:SR:WB:	2017-02-14	09:13:00	HAST	HUIWAIOLA_WQX-RAB	STORET-864976351			as P	Orthophosphate	Filtered, field	10.48	ug/l		Final		Actual																																						365.5	USEPA	Orthophosphate in Water by Colorimetry			https://www.nemi.gov/methods/method_summary/7231/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM161215:SR:WB:	2016-12-15	08:45:00	HAST	HUIWAIOLA_WQX-OMM	STORET-864975867			as P	Total Phosphorus, mixed forms	Filtered, field	9.84	ug/l		Final		Actual																																						4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB161101:FM:WB:	2016-11-01	08:36:00	HAST	HUIWAIOLA_WQX-RCB	STORET-864975133				Turbidity		1.38	NTU		Final		Actual																																						180.1	USEPA	Turbidity by Nephelometry			https://www.nemi.gov/methods/method_summary/5217/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH160921:SR:WB:	2016-09-21	07:52:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864974575				Silicate	Filtered, field	571.44	ug/l		Final		Actual																																						366	USEPA	Silicate by Colorimetry			https://www.nemi.gov/methods/method_summary/4661/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM160908:SR:WB:	2016-09-08	08:00:00	HAST	HUIWAIOLA_WQX-OMM	STORET-864974481			as N	Ammonium	Filtered, field	2.10	ug/l		Final		Actual																																						350.1	USEPA	Ammonia Nitrogen by Colorimetry			https://www.nemi.gov/methods/method_summary/5405/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP160728:SR:WB:	2016-07-28	09:30:00	HAST	HUIWAIOLA_WQX-OPP	STORET-864973929			as N	Nitrate + Nitrite	Filtered, field	1.97	ug/l		Final		Actual																																						353.4	USEPA	Determination of Nitrite and Nitrate			https://www.nemi.gov/methods/method_summary/7225/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160615:FM:PS:PH:	2016-06-15	07:37:00	HAST	HUIWAIOLA_WQX-PFF	STORET-864973265				pH		8.05	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO170309:FM:PS:DO:	2017-03-09	07:50:00	HAST	HUIWAIOLA_WQX-OCO	STORET-864976681				Dissolved oxygen (DO)		6.26	mg/l		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF161214:FM:PS:PH:	2016-12-14	08:16:00	HAST	HUIWAIOLA_WQX-PFF	STORET-864975769				pH		8.03	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP170125:SR:WB:	2017-01-25	10:07:00	HAST	HUIWAIOLA_WQX-OLP	STORET-864976222			as N	Ammonium	Filtered, field	31.67	ug/l		Final		Actual																																						350.1	USEPA	Ammonia Nitrogen by Colorimetry			https://www.nemi.gov/methods/method_summary/5405/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA160809:SR:WB:	2016-08-09	08:52:00	HAST	HUIWAIOLA_WQX-RWA	STORET-864973987			as P	Orthophosphate	Filtered, field	6.01	ug/l		Final		Actual																																						365.5	USEPA	Orthophosphate in Water by Colorimetry			https://www.nemi.gov/methods/method_summary/7231/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF170215:FM:PS:TS:	2017-02-15	10:11:00	HAST	HUIWAIOLA_WQX-OSF	STORET-864976439				Temperature, water		25.1	deg C		Final		Actual																																						2550	APHA	Temperature of Water by Thermometer																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161018:SR:WB:	2016-10-18	08:57:00	HAST	HUIWAIOLA_WQX-RWA	STORET-864974948			as N	Ammonium	Filtered, field	11.06	ug/l		Final		Actual																																						350.1	USEPA	Ammonia Nitrogen by Colorimetry			https://www.nemi.gov/methods/method_summary/5405/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM160630:FM:PS:TS:	2016-06-30	08:00:00	HAST	HUIWAIOLA_WQX-OMM	STORET-864973501				Salinity		29.1	ppt		Final		Actual																																						8160	HACH	Conductivity in Water by Direct Measurement																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP160921:SR:WB:	2016-09-21	09:05:00	HAST	HUIWAIOLA_WQX-OLP	STORET-864974599				Silicate	Filtered, field	209.47	ug/l		Final		Actual																																						366	USEPA	Silicate by Colorimetry			https://www.nemi.gov/methods/method_summary/4661/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU161102:FM:WB:	2016-11-02	09:52:00	HAST	HUIWAIOLA_WQX-PPU	STORET-864975193				Turbidity		1.86	NTU		Final		Actual																																						180.1	USEPA	Turbidity by Nephelometry			https://www.nemi.gov/methods/method_summary/5217/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB160614:FM:PS:DO:	2016-06-14	09:15:00	HAST	HUIWAIOLA_WQX-RAB	STORET-864973227				Dissolved oxygen saturation		101.6	%		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH161102:FM:PS:DO:	2016-11-02	08:56:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864975168				Dissolved oxygen saturation		82.2	%		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB161201:FM:PS:PH:	2016-12-01	08:40:00	HAST	HUIWAIOLA_WQX-OPB	STORET-864975685				pH		8.12	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM170330:FM:PS:TS:	2017-03-30	07:20:00	HAST	HUIWAIOLA_WQX-OPM	STORET-864976884				Salinity		34.0	ppt		Final		Actual																																						8160	HACH	Conductivity in Water by Direct Measurement																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP161006:FM:PS:TS:	2016-10-06	09:22:00	HAST	HUIWAIOLA_WQX-OPP	STORET-864974879				Salinity		34.9	ppt		Final		Actual																																						8160	HACH	Conductivity in Water by Direct Measurement																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161213:SR:WB:	2016-12-13	09:03:00	HAST	HUIWAIOLA_WQX-RWA	STORET-864975761				Silicate	Filtered, field	760.93	ug/l		Final		Actual																																						366	USEPA	Silicate by Colorimetry			https://www.nemi.gov/methods/method_summary/4661/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP170217:FM:PS:PH:	2017-02-17	09:14:00	HAST	HUIWAIOLA_WQX-OPP	STORET-864976516				pH		8.15	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB160811:FM:PS:TS:	2016-08-11	09:15:00	HAST	HUIWAIOLA_WQX-OPB	STORET-864974099				Temperature, water		27.4	deg C		Final		Actual																																						2550	APHA	Temperature of Water by Thermometer																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB170103:FM:PS:PH:	2017-01-03	09:55:00	HAST	HUIWAIOLA_WQX-RCB	STORET-864975949				pH		8.21	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO160922:FM:PS:PH:	2016-09-22	07:52:00	HAST	HUIWAIOLA_WQX-OCO	STORET-864974631				pH		7.86	None		Final		Actual																																						8156	HACH	pH in Water			https://www.nemi.gov/methods/method_summary/4724/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA161129:FM:PS:TS:	2016-11-29	08:59:00	HAST	HUIWAIOLA_WQX-RWA	STORET-864975548				Temperature, water		25.4	deg C		Final		Actual																																						2550	APHA	Temperature of Water by Thermometer																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP170104:SR:WB:	2017-01-04	09:58:00	HAST	HUIWAIOLA_WQX-OLP	STORET-864976026			as N	Nitrate + Nitrite	Filtered, field	2.59	ug/l		Final		Actual																																						353.4	USEPA	Determination of Nitrite and Nitrate			https://www.nemi.gov/methods/method_summary/7225/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH161019:SR:WB:	2016-10-19	08:51:00	HAST	HUIWAIOLA_WQX-PLH	STORET-864974969			as P	Orthophosphate	Filtered, field	12.20	ug/l		Final		Actual																																						365.5	USEPA	Orthophosphate in Water by Colorimetry			https://www.nemi.gov/methods/method_summary/7231/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF170104:SR:WB:	2017-01-04	08:15:00	HAST	HUIWAIOLA_WQX-PFF	STORET-864975975			as P	Total Phosphorus, mixed forms	Filtered, field	17.00	ug/l		Final		Actual																																						4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF161019:SR:WB:	2016-10-19	10:37:00	HAST	HUIWAIOLA_WQX-OSF	STORET-864975019			as N	Nitrate + Nitrite	Filtered, field	3.17	ug/l		Final		Actual																																						353.4	USEPA	Determination of Nitrite and Nitrate			https://www.nemi.gov/methods/method_summary/7225/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP161020:SR:WB:	2016-10-20	09:10:00	HAST	HUIWAIOLA_WQX-OPP	STORET-864975092			as N	Ammonium	Filtered, field	3.18	ug/l		Final		Actual																																						350.1	USEPA	Ammonia Nitrogen by Colorimetry			https://www.nemi.gov/methods/method_summary/5405/																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF160907:FM:PS:DO:	2016-09-07	07:48:00	HAST	HUIWAIOLA_WQX-PFF	STORET-864974389				Dissolved oxygen saturation		94.1	%		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB170103:FM:PS:TS:	2017-01-03	09:55:00	HAST	HUIWAIOLA_WQX-RCB	STORET-864975944				Temperature, water		24.9	deg C		Final		Actual																																						2550	APHA	Temperature of Water by Thermometer																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU170215:FM:PS:DO:	2017-02-15	09:30:00	HAST	HUIWAIOLA_WQX-PPU	STORET-864976418				Dissolved oxygen saturation		100.8	%		Final		Actual																																						8157	HACH	Dissolved Oxygen in Water																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM160825:SR:WB:	2016-08-25	07:20:00	HAST	HUIWAIOLA_WQX-OPM	STORET-864974261			as P	Total Phosphorus, mixed forms	Filtered, field	14.75	ug/l		Final		Actual																																						4500-P	APHA	4500 P ~ Phosphorus in  water and wastewater																			STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU170308:SR:WB:	2017-03-08	09:54:00	HAST	HUIWAIOLA_WQX-PPU	STORET-864976639			as P	Orthophosphate	Filtered, field	4.78	ug/l		Final		Actual																																						365.5	USEPA	Orthophosphate in Water by Colorimetry			https://www.nemi.gov/methods/method_summary/7231/																STORET
