Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+			
yes	yes	yes	no	no	17	Polanui	LLHS				OLP	OLP170215	2072	Launiupoko	2017-02-15	9:47										OLP170215	25.2	34.9	6.79	100.0	8.13	5.91	5.91	5.91	5.91	0.000										
yes	yes	yes	no	no	17	Polanui	LLHS				OSF	OSF170215	2027	Olowalu Pier	2017-02-15	10:11										OSF170215	25.1	34.9	6.59	96.8	8.10	4.16	4.16	4.16	4.16	0.000										
yes	yes	yes	no	no	18	Polanui	LLHS				PFF	PFF170308	2022	505 Front St	2017-03-08	8:30										PFF170308	24.5	34.0	6.33	91.8	8.10	1.81	1.81	1.81	1.81	0.000										
yes	yes	yes	no	no	18	Polanui	LLHS				PLH	PLH170308	2023	Lindsey Hale	2017-03-08	8:59										PLH170308	24.6	33.9	6.13	88.8	8.10	7.56	7.56	7.56	7.56	0.000										
yes	yes	yes	no	no	18	Polanui	LLHS				PLT	PLT170308	2024	Lahaina Town	2017-03-08	9:24										PLT170308	24.6	34.2	6.42	93.4	8.11	3.03	3.03	3.03	3.03	0.000										
yes	yes	yes	no	no	18	Polanui	LLHS				PPU	PPU170308	2025	Puamana	2017-03-08	9:54										PPU170308	25.2	34.5	6.93	102.1	8.20	2.18	2.18	2.18	2.18	0.000										
yes	yes	yes	no	no	18	Polanui	LLHS				OLP	OLP170308	2072	Launiupoko	2017-03-08	10:24										OLP170308	25.7	34.5	7.07	104.9	8.21	1.68	1.68	1.68	1.68	0.000										
yes	yes	yes	no	no	18	Polanui	LLHS				OSF	OSF170308	2027	Olowalu Pier	2017-03-08	11:00										OSF170308	26.0	34.5	7.35	109.4	8.13	1.67	1.67	1.67	1.67	0.000										
yes	yes	yes	no	no	19	Polanui	LLHS				PFF	PFF170329	2022	505 Front St	2017-03-29	8:21										PFF170329	25.4	33.1	6.23	90.8	8.07	11.33	11.33	11.33	11.33	0.000										
yes	yes	yes	no	no	19	Polanui	LLHS				PLH	PLH170329	2023	Lindsey Hale	2017-03-29	8:50										PLH170329	26.0	33.4	5.72	84.5	8.06	7.19	7.19	7.19	7.19	0.000										
yes	yes	yes	no	no	19	Polanui	LLHS				PLT	PLT170329	2024	Lahaina Town	2017-03-29	9:10										PLT170329	26.3	33.1	5.93	87.9	8.07	7.53	7.53	7.53	7.53	0.000										
yes	yes	yes	no	no	19	Polanui	LLHS				PPU	PPU170329	2025	Puamana	2017-03-29	9:36										PPU170329	26.2	33.9	6.78	100.8	8.18	2.50	2.50	2.50	2.50	0.000										
yes	yes	yes	no	no	19	Polanui	LLHS				OLP	OLP170329	2072	Launiupoko	2017-03-29	10:10										OLP170329	27.3	34.3	6.70	101.8	8.16	3.99	3.99	3.99	3.99	0.000										
yes	yes	yes	no	no	19	Polanui	LLHS				OSF	OSF170329	2027	Olowalu Pier	2017-03-29	10:36										OSF170329	26.8	34.0	6.95	104.5	8.13	2.18	2.18	2.18	2.18	0.000										
yes	yes	yes	no	no	20	Polanui	LLHS				PFF	PFF170419	2022	505 Front St	2017-04-19	8:18										PFF170419	25.8	32.7	6.44	94.7	8.12	2.18	2.18	2.18	2.18	0.000										
yes	yes	yes	no	no	20	Polanui	LLHS				PLH	PLH170419	2023	Lindsey Hale	2017-04-19	8:45										PLH170419	25.9	33.7	6.43	95.3	8.11	9.15	9.15	9.15	9.15	0.000										
yes	yes	yes	no	no	20	Polanui	LLHS				PLT	PLT170419	2024	Lahaina Town	2017-04-19	9:06										PLT170419	26.2	33.0	6.24	92.6	8.10	11.37	11.37	11.37	11.37	0.000										
yes	yes	yes	no	no	20	Polanui	LLHS				PPU	PPU170419	2025	Puamana	2017-04-19	9:30										PPU170419	26.1	34.1	6.63	99.0	8.18	1.64	1.64	1.64	1.64	0.000										
yes	yes	yes	no	no	20	Polanui	LLHS				OLP	OLP170419	2072	Launiupoko	2017-04-19	10:00										OLP170419	26.7	34.4	6.74	101.8	8.18	2.53	2.53	2.53	2.53	0.000										
yes	yes	yes	no	no	20	Polanui	LLHS				OSF	OSF170419	2027	Olowalu Pier	2017-04-19	10:25										OSF170419	27.0	34.3	6.97	105.7	8.15	1.50	1.50	1.50	1.50	0.000										
yes	yes	yes	no	no	21	Polanui	LLHS				PFF	PFF170510	2022	505 Front St	2017-05-10	8:17										PFF170510	25.5	34.2	6.46	95.6	8.14	2.24	2.24	2.24	2.24	0.000										
yes	yes	yes	no	no	21	Polanui	LLHS				PLH	PLH170510	2023	Lindsey Hale	2017-05-10	8:40										PLH170510	25.8	33.9	6.24	92.7	8.14	2.00	2.00	2.00	2.00	0.000										
yes	yes	yes	no	no	21	Polanui	LLHS				PLT	PLT170510	2024	Lahaina Town	2017-05-10	8:59										PLT170510	25.9	34.7	6.33	94.4	8.14	1.57	1.57	1.57	1.57	0.000										
yes	yes	yes	no	no	21	Polanui	LLHS				PPU	PPU170510	2025	Puamana	2017-05-10	9:31										PPU170510	26.1	34.3	6.91	103.2	8.23	1.67	1.67	1.67	1.67	0.000										
yes	yes	yes	no	no	21	Polanui	LLHS				OLP	OLP170510	2072	Launiupoko	2017-05-10	9:53										OLP170510	26.8	34.6	6.94	105.0	8.18	2.19	2.19	2.19	2.19	0.000										
yes	yes	yes	no	no	21	Polanui	LLHS				OSF	OSF170510	2027	Olowalu Pier	2017-05-10	10:19										OSF170510	26.8	34.4	7.23	109.7	8.18	1.74	1.74	1.74	1.74	0.000										
yes	yes	yes	no	no	22	Polanui	LLHS				PFF	PFF170531	2022	505 Front St	2017-05-31	8:12										PFF170531	26.4	34.0	6.21	92.8	8.07	3.94	3.94	3.94	3.94	0.000										
yes	yes	yes	no	no	22	Polanui	LLHS				PLH	PLH170531	2023	Lindsey Hale	2017-05-31	8:41										PLH170531	26.5	34.4	6.32	94.9	8.06	5.14	5.14	5.14	5.14	0.000										
yes	yes	yes	no	no	22	Polanui	LLHS				PLT	PLT170531	2024	Lahaina Town	2017-05-31	9:02										PLT170531	26.8	33.7	6.01	90.3	8.05	13.23	13.23	13.23	13.23	0.000										
yes	yes	yes	no	no	22	Polanui	LLHS				PPU	PPU170531	2025	Puamana	2017-05-31	9:25										PPU170531	26.9	34.6	6.73	101.8	8.15	3.10	3.10	3.10	3.10	0.000										
yes	yes	yes	no	no	22	Polanui	LLHS				OLP	OLP170531	2072	Launiupoko	2017-05-31	9:48										OLP170531	26.9	34.8	6.80	103.2	8.12	2.59	2.59	2.59	2.59	0.000										
yes	yes	yes	no	no	22	Polanui	LLHS				OSF	OSF170531	2027	Olowalu Pier	2017-05-31	10:10										OSF170531	27.1	34.7	7.27	110.5	8.10	2.31	2.31	2.31	2.31	0.000										
yes	yes	yes	no	no	23	Polanui	LLHS				PFF	PFF170621	2022	505 Front St	2017-06-21	8:15										PFF170621	26.9	33.4	6.47	97.6	8.08	4.88	4.88	4.88	4.88	0.000										
yes	yes	yes	no	no	23	Polanui	LLHS				PLH	PLH170621	2023	Lindsey Hale	2017-06-21	8:43										PLH170621	26.7	33.9	6.32	95.2	8.08	2.45	2.45	2.45	2.45	0.000										
yes	yes	yes	no	no	23	Polanui	LLHS				PLT	PLT170621	2024	Lahaina Town	2017-06-21	9:03										PLT170621	27.3	34.5	6.85	104.6	8.10	2.24	2.24	2.24	2.24	0.000										
yes	yes	yes	no	no	23	Polanui	LLHS				PPU	PPU170621	2025	Puamana	2017-06-21	9:30										PPU170621	27.3	34.5	6.69	102.2	8.17	3.96	3.96	3.96	3.96	0.000										
