OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	MonitoringLocationIdentifier	ResultIdentifier	CharacteristicName	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OCO160714NH4	HUIWAIOLA_WQX-OCO	STORET-644390136	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP170104NH4	HUIWAIOLA_WQX-OLP	STORET-644392493	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OUB170105NH4	HUIWAIOLA_WQX-OUB	STORET-644392497	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA160906NH4	HUIWAIOLA_WQX-RWA	STORET-644390887	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA160712NH4	HUIWAIOLA_WQX-RWA	STORET-644390129	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP160811NH4	HUIWAIOLA_WQX-OPP	STORET-644390523	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OUB161117NH4	HUIWAIOLA_WQX-OUB	STORET-644391902	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RAB160906NH4	HUIWAIOLA_WQX-RAB	STORET-644390885	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA161115NH4	HUIWAIOLA_WQX-RWA	STORET-644391892	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PPU161019NNN	HUIWAIOLA_WQX-PPU	STORET-644391471	Nitrate	Method Detection Level	.1	ug/l	STORET
