Copied to main database by Kim 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RON	RON171027	2004	Oneloa Bay	2017-10-27	9:20	2	3	3	1	2	8	1	1	Trades	RON171027	27.0	35.0	6.79	104.1	8.18	1.22	1.28	1.33	1.28	0.043		3	1		2	15	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RFS	RFS171027	2005	Kapalua Bay	2017-10-27	9:53	2	3	3	1	2	8	1	1	Trades	RFS171027	26.7	34.8	6.99	106.6	8.21	2.91	2.60	2.37	2.63	0.103		1	1		33	60	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKO	RKO171027	2008	Ka'opala Bay	2017-10-27	10:23	2	3	3	1	2	8	1	1	Trades	RKO171027	25.9	34.3	6.84	102.6	8.13	26.60	27.00	26.10	26.57	0.017		2	1	0	0	0	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKV	RKV171027	2074	Kahana Village	2017-10-27	10:46	2	3	3	1	2	8	1	1	Trades	RKV171027	27.4	35.0	6.83	105.1	8.23	11.60	10.80	11.70	11.37	0.043		2	1	0	0	7	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, was water in stream bed though no stream flow while taking sample but ocean mixed a little with stream water at mouth of stream
	yes	no	yes	30	R2RN	LLHS	BB	AS	LH	RHL	RHL171117	2001	Honolua Bay	2017-11-17	7:58	1	1	4	2	3	29	8	4	Trades	RHL171117	24.3	30.6	6.39	90.9	8.15	20.90	21.10	21.50				0	0	2	1	1	0	Honolua sampling during heavy rain, stream flowing into ocean, double rainbox within the bay, saw bark, leaves, and large particles in otherwise clear water - may have caused the high NTU numbers
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RFN	RFN171117	2003	Fleming North	2017-11-17	8:40	1	1	4	2	3	29	2	1	Trades	RFN171117	25.7	34.4	6.71	99.7	8.15	1.35	1.73	1.67				4	0	1	4	3	0	small flow from stream into ocean
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RON	RON171117	2004	Oneloa Bay	2017-11-17	9:15	1	1	4	2	3	29	2	1	Trades	RON171117	26.0	35.0	6.66	100.2	8.19	0.65	0.65	0.69				3	2		1	0	0	
	yes	yes	no	30	R2RN	LLHS	BB	AS	LH	RFS	RFS171117	2005	Kapalua Bay	2017-11-17	9:50	1	1	4	2	3	29	2	0	Trades	RFS171117	26.3	34.1	6.86	103.1	8.16	2.77	2.66	2.27				1	1		40	62	0	
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKO	RKO171117	2008	Ka'opala Bay	2017-11-17	10:15	1	1	4	2	3	29	2	0	Trades	RKO171117	25.3	34.0	6.81	100.5	8.16	17.30	16.70	17.20				1	0	0	0	2	0	RKO no water coming out of pipe
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKV	RKV171117	2074	Kahana Village	2017-11-17	10:38	1	1	4	2	3	29	2	0	Trades	RKV171117	26.4	35.0	7.09	107.2	8.28	7.27	6.83	6.90				1	1		0	4	0	RKV waves irregular, turbulent but not that large, rocks exposed at about 1 foot underwater made for difficult footing even with reef shoes
