Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	12	Wailea	NMS	HH	AW	JJ	WUL	WUL180420		Ulua Beach	2018-04-20	8:42	2	2	2	2	2	5	8	0	Trades	WUL180420	25.6	34.2	6.71	99.5	8.15	0.99	1.22	1.30	1.17	0.138		1	0		12	14	0	
yes	yes	no	no	12	Wailea	NMS	HH	AW	JJ	WWA	WWA180420		Wailea Beach	2018-04-20	8:55	2	2	2	2	2	5	8	0	Trades	WWA180420	25.6	34.7	6.71	99.8	8.19	1.02	1.13	1.01	1.05	0.063		1	0		3	17	0	
yes	yes	no	no	12	Wailea	NMS	HH	AW	JJ	WPL	WPL180420		Palauea Beach	2018-04-20	9:30	2	2	2	2	2	5	8	0	Trades	WPL180420	25.7	34.7	6.68	99.6	8.18	1.04	0.95	0.92	0.97	0.064		1	0		1	4	0	
yes	yes	no	no	12	Wailea	NMS	HH	AW	JJ	WPO	WPO180420		Poolenalena Beach	2018-04-20	9:48	2	2	2	2	2	5	8	0	Trades	WPO180420	26.1	34.7	6.72	100.8	8.21	0.54	0.53	0.56	0.54	0.028		1	0		5	9	0	
yes	yes	no	no	13	Wailea	NMS	DH	AW	JJ	WKD	WKD180504		Kilohana Dr	2018-05-04	8:10	1	1	1	1	1	19	1	1	Trades	WKD180504	25.4	35.2	6.59	97.9	8.18	0.65	0.51	0.56	0.57	0.124		0	0		0	8	0	
yes	yes	no	no	13	Wailea	NMS	DH	AW	JJ	WKB	WKB180504		Keawakapu Beach	2018-05-04	8:30	1	1	1	1	1	19	1	1	Trades	WKB180504	25.7	35.3	6.68	99.6	8.18	0.62	0.58	0.56	0.59	0.052		1	0		9	15	0	
yes	yes	no	no	13	Wailea	NMS	DH	AW	JJ	WUL	WUL180504		Ulua Beach	2018-05-04	8:38	1	1	1	1	1	19	1	1	Trades	WUL180504	25.9	34.8	6.47	96.7	8.15	1.59	2.09	1.20	1.63	0.274		1	0		5	15	0	
yes	yes	no	no	13	Wailea	NMS	DH	AW	JJ	WWA	WWA180504		Wailea Beach	2018-05-04	9:05	1	1	1	1	1	19	1	1	Trades	WWA180504	26.1	35.1	6.64	99.7	8.19	0.78	0.74	0.92	0.81	0.116		1	1		4	15	0	
yes	yes	no	no	13	Wailea	NMS	DH	AW	JJ	WPL	WPL180504		Palauea Beach	2018-05-04	9:30	1	1	1	1	1	19	1	1	Trades	WPL180504	26	35	6.68	100.1	8.20	0.77	1.16	0.93	0.95	0.206		2	0		13	12	0	
yes	yes	no	no	13	Wailea	NMS	DH	AW	JJ	WPO	WPO180504		Poolenalena Beach	2018-05-04	9:45	1	1	1	1	1	19	1	1	Trades	WPO180504	26	35	6.67	99.9	8.21	0.40	0.40	0.36	0.39	0.060		2	1		1	20	2	
yes	yes	no	no	14	Wailea	NMS	HR	AW	JJ	WKD	WKD180518		Kilohana Dr	2018-05-18	8:10	2	2	2	2	2	5	4	0	Trades	WKD180518	25.7	35.1	6.60	98.4	8.15	0.84	0.59	0.43	0.62	0.333		1	1		2	2	0	
yes	yes	no	no	14	Wailea	NMS	HR	AW	JJ	WKB	WKB180518		Keawakapu Beach	2018-05-18	8:30	2	2	2	2	2	5	4	0	Trades	WKB180518	25.9	35.1	6.73	100.6	8.19	0.29	0.24	0.27	0.27	0.094		1	1		8	15	0	
yes	yes	no	no	14	Wailea	NMS	HR	AW	JJ	WUL	WUL180518		Ulua Beach	2018-05-18	8:55	2	2	2	2	2	5	4	0	Trades	WUL180518	26.3	34.3	6.76	101.3	8.14	1.20	1.13	1.13	1.15	0.035		1	1		3	35	0	
yes	yes	no	no	14	Wailea	NMS	HR	AW	JJ	WWA	WWA180518		Wailea Beach	2018-05-18	9:21	2	2	2	2	2	5	4	0	Trades	WWA180518	26.4	34.6	6.76	101.7	8.18	0.47	0.59	0.62	0.56	0.142		1	1		5	14	0	Leaf in sample bucket while taking measurements
yes	yes	no	no	14	Wailea	NMS	HR	AW	JJ	WPL	WPL180518		Palauea Beach	2018-05-18	9:41	2	2	2	2	2	5	4	0	Trades	WPL180518	26.6	34.8	6.74	101.8	8.20	1.10	1.80	1.14	1.35	0.292		1	2		0	2	0	
yes	yes	no	no	14	Wailea	NMS	HR	AW	JJ	WPO	WPO180518		Poolenalena Beach	2018-05-18	10:01	2	2	2	2	2	5	4	0	Trades	WPO180518	26.5	34.8	6.71	101.4	8.22	0.66	0.74	0.99	0.80	0.216		2	2		2	15	0	
yes	yes	no	no	15	Wailea	NMS	JJ	GB		WKD	WKD180601		Kilohana Dr	2018-06-01	8:00	1	1	1	1	1	18	6	0	Trades	WKD180601	25.6	35.3	6.67	99.4	8.15	0.84	1.44	1.24	1.17	0.260		1	0		0	3	0	Some vog
yes	yes	no	no	15	Wailea	NMS	JJ	GB		WKB	WKB180601		Keawakapu Beach	2018-06-01	8:35	1	1	1	1	1	18	6	0	Trades	WKB180601	25.7	35.7	6.75	101.1	8.18	0.25	0.30	0.39	0.31	0.226		1	0		5	11	0	
yes	yes	no	no	15	Wailea	NMS	JJ	GB		WUL	WUL180601		Ulua Beach	2018-06-01	8:55	1	1	1	1	1	18	6	0	Trades	WUL180601	25.9	34.8	6.59	98.6	8.14	0.83	1.09	1.07	1.00	0.145		2	1		20	20	0	
yes	yes	no	no	15	Wailea	NMS	JJ	GB		WWA	WWA180601		Wailea Beach	2018-06-01	9:25	1	1	1	1	1	18	6	0	Trades	WWA180601	26.1	35.5	6.58	99.2	8.19	0.44	0.50	0.50	0.48	0.072		1	0		12	30	0	
yes	yes	no	no	15	Wailea	NMS	JJ	GB		WPL	WPL180601		Palauea Beach	2018-06-01	9:55	1	1	1	1	1	18	6	0	Trades	WPL180601	26.1	35.2	6.67	100.3	8.18	0.95	1.39	1.05	1.13	0.204		1	1		6	14	0	
yes	yes	no	no	15	Wailea	NMS	JJ	GB		WPO	WPO180601		Poolenalena Beach	2018-06-01	10:15	1	1	1	1	1	18	6	0	Trades	WPO180601	25.9	35.2	6.68	100.1	8.19	0.85	0.81	1.13	0.93	0.187		1	0		8	14	2	
yes	yes	no	no	16	Wailea	NMS	HR	AW	HH	WKD	WKD180622		Kilohana Dr	2018-06-22	7:59	2	2	2	2	2	9	0	0	Trades	WKD180622	26.5	34.9	6.53	98.7	8.16	0.56	0.95	0.61	0.71	0.300		0	0		2	12	0	
yes	yes	no	no	16	Wailea	NMS	HR	AW	HH	WKB	WKB180622		Keawakapu Beach	2018-06-22	8:25	2	2	2	2	2	9	0	0	Trades	WKB180622	26.6	35.1	6.65	100.6	8.16	0.67	0.64	0.47	0.59	0.182		1	0		12	12	0	
yes	yes	no	no	16	Wailea	NMS	HR	AW	HH	WUL	WUL180622		Ulua Beach	2018-06-22	8:55	2	2	2	2	2	9	0	0	Trades	WUL180622	26.7	34.5	6.61	100.6	8.14	0.98	0.90	0.88	0.92	0.058		1	0		35	18	0	
yes	yes	no	no	16	Wailea	NMS	HR	AW	HH	WPL	WPL180622		Palauea Beach	2018-06-22	9:10	2	2	2	2	2	9	0	0	Trades	WPL180622	26.8	35	6.61	100.4	8.19	0.40	0.39	0.41	0.40	0.025		1	1		3	7	0	
yes	yes	no	no	16	Wailea	NMS	HR	AW	HH	WPO	WPO180622		Poolenalena Beach	2018-06-22	9:30	2	2	2	2	2	9	0	0	Trades	WPO180622	27.3	35.1	6.64	101.8	8.20	0.34	0.34	0.31	0.33	0.052		1	1		1	5	6	
yes	yes	no	no	17	Wailea	NMS	HR	AW	SD	WKD	WKD180713		Kilohana Dr	2018-07-13	7:55	1	1	1	1	1	2	2	0	Kona	WKD180713	26.5	34.8	6.55	99.0	8.18	1.32	1.36	1.20	1.29	0.064		0	0		1	8	0	Nutrient sample bottle was dipped in the ocean water by mistake. Thoroughly rinsed before sample filtered (with tap and distilled water)
yes	yes	no	no	17	Wailea	NMS	HR	AW	SD	WKB	WKB180713		Keawakapu Beach	2018-07-13	8:18	1	1	1	1	1	2	2	0	Kona	WKB180713	26.5	35.1	6.48	98.2	8.19	0.57	0.57	0.54	0.56	0.031		1	0		3	15	0	
yes	yes	no	no	17	Wailea	NMS	HR	AW	SD	WUL	WUL180713		Ulua Beach	2018-07-13	8:36	1	1	1	1	1	2	2	0	Kona	WUL180713	26.7	34.5	6.47	97.9	8.16	1.28	1.19	1.45	1.31	0.101		1	0		19	50	0	
yes	yes	no	no	17	Wailea	NMS	HR	AW	SD	WPL	WPL180713		Palauea Beach	2018-07-13	9:00	1	1	1	1	1	2	2	0	Kona	WPL180713	26.9	34.7	6.53	99.4	8.16	1.10	1.19	1.18	1.16	0.043		1	0		2	4	0	
yes	yes	no	no	17	Wailea	NMS	HR	AW	SD	WPO	WPO180713		Poolenalena Beach	2018-07-13	9:13	1	1	1	1	1	2	2	0	Kona	WPO180713	26.8	35.1		99.9	8.22	0.87	0.44	0.41	0.57	0.449		1	0		2	6	3	
yes	yes	no	no	18	Wailea	NMS	HR	AW	SD	WKD	WKD180803		Kilohana Dr	2018-08-03	7:53	2	2	2	2	2	22	1	0	Trades	WKD180803	26.6	35.3	6.58	100.0	8.20	1.66	1.13	1.29	1.36	0.200		1	0		0	13	0	
yes	yes	no	no	18	Wailea	NMS	HR	AW	SD	WKB	WKB180803		Keawakapu Beach	2018-08-03	8:12	2	2	2	2	2	22	1	0	Trades	WKB180803	26.8	35.2	6.56	99.8	8.19	1.42	1.08	1.18	1.23	0.142		1	0		14	22	0	
yes	yes	no	no	18	Wailea	NMS	HR	AW	SD	WUL	WUL180803		Ulua Beach	2018-08-03	8:32	2	2	2	2	2	22	1	0	Trades	WUL180803	27	35.4	6.56	100.3	8.20	0.89	0.88	0.77	0.85	0.079		1	0		18	35	0	
yes	yes	no	no	18	Wailea	NMS	HR	AW	SD	WPL	WPL180803		Palauea Beach	2018-08-03	8:55	2	2	2	2	2	22	1	0	Trades	WPL180803	27.4	35.4	6.54	100.5	8.20	1.72	1.68	1.58	1.66	0.043		1	1		4	9	0	
yes	yes	no	no	18	Wailea	NMS	HR	AW	SD	WPO	WPO180803		Poolenalena Beach	2018-08-03	9:12	2	2	2	2	2	22	1	0	Trades	WPO180803	27.5	35.4	6.56	101.3	8.22	0.27	0.23	0.25	0.25	0.080		1	1		1	22	0	
yes	yes	no	no	19	Wailea	NMS	HR	AW	SD	WKD	WKD180824		Kilohana Dr	2018-08-24											WKD180824																		Cancelled sampling session due to hurricane Lane
yes	yes	no	no	19	Wailea	NMS	HR	AW	SD	WKB	WKB180824		Keawakapu Beach	2018-08-24											WKB180824																		Cancelled sampling session due to hurricane Lane
yes	yes	no	no	19	Wailea	NMS	HR	AW	SD	WUL	WUL180824		Ulua Beach	2018-08-24											WUL180824																		Cancelled sampling session due to hurricane Lane
yes	yes	no	no	19	Wailea	NMS	HR	AW	SD	WPL	WPL180824		Palauea Beach	2018-08-24											WPL180824																		Cancelled sampling session due to hurricane Lane
yes	yes	no	no	19	Wailea	NMS	HR	AW	SD	WPO	WPO180824		Poolenalena Beach	2018-08-24											WPO180824																		Cancelled sampling session due to hurricane Lane
yes	yes	no	no	20	Wailea	NMS	HR	AW	SD	WKD	WKD180914		Kilohana Dr	2018-09-14	7:52	2	2	2	2	2	5	0	0		WKD180914	27.2	35.6	6.41	98.8	8.20	0.72	0.77	0.75	0.75	0.034		0	0		1	8	0	
yes	yes	no	no	20	Wailea	NMS	HR	AW	SD	WKB	WKB180914		Keawakapu Beach	2018-09-14	8:18	2	2	2	2	2	5	0	0		WKB180914	27.6	35.2	6.48	99.9	8.15	0.65	0.80	0.83	0.76	0.127		1	0		3	11	0	Re-used syringe from last site
yes	yes	no	no	20	Wailea	NMS	HR	AW	SD	WUL	WUL180914		Ulua Beach	2018-09-14	8:37	2	2	2	2	2	5	0	0		WUL180914	27.5	35.3	6.47	99.8	8.18	0.68	1.10	0.78	0.85	0.257		1	0		14	14	0	Re-used syringe from last site
yes	yes	no	no	20	Wailea	NMS	HR	AW	SD	WPL	WPL180914		Palauea Beach	2018-09-14	8:58	2	2	2	2	2	5	0	0		WPL180914	27.6	35.4	6.46	99.9	8.18	0.79	0.85	0.96	0.87	0.099		1	0		0	7	8	campers were turtle watch volunteers
yes	yes	no	no	20	Wailea	NMS	HR	AW	SD	WPO	WPO180914		Poolenalena Beach	2018-09-14	9:25	2	2	2	2	2	5	0	0		WPO180914	28.2	35.5	6.47	101.1	8.21	0.30	0.32	0.48	0.37	0.269		1	0		0	2	1	
yes	yes	no	no	21	Wailea	NMS	HR	AW	JJ	WKD	WKD181005		Kilohana Dr	2018-10-05	9:27	1	1	1	1	1					WKD181005	28.1	35.4	6.60	102.8	8.16	3.37	3.72	3.60	3.56	0.050					2	18	0	
yes	yes	no	no	21	Wailea	NMS	HR	AW	JJ	WKB	WKB181005		Keawakapu Beach	2018-10-05	9:10	1	1	1	1	1					WKB181005	27.9	35.3	6.62	102.8	8.18	4.71	4.75	4.57	4.68	0.020					9	7	0	
yes	yes	no	no	21	Wailea	NMS	HR	AW	JJ	WUL	WUL181005		Ulua Beach	2018-10-05	8:50	1	1	1	1	1					WUL181005	27.8	35.1	6.66	103.1	8.17	5.81	6.36	6.49	6.22	0.058					7	11	0	
yes	yes	no	no	21	Wailea	NMS	HR	AW	JJ	WPL	WPL181005		Palauea Beach	2018-10-05	8:12	1	1	1	1	1					WPL181005	27.5	26.6	6.98	103.0	8.17	5.08	4.96	5.03	5.02	0.012					0	20	8	
yes	yes	no	no	21	Wailea	NMS	HR	AW	JJ	WPO	WPO181005		Poolenalena Beach	2018-10-05	8:30	1	1	1	1	1					WPO181005	27.9	27.1	6.92	103.1	8.19	3.60	3.89	4.13	3.87	0.069					0	0	0	
yes	yes	no	no	22	Wailea	NMS	HR	AW	JJ	WKD	WKD181026		Kilohana Dr	2018-10-26	7:55	2	2	2	2	2					WKD181026	26.9	35.4	6.72	103.0	8.17	0.90	0.90	0.90	0.90	0.000				N	3	3	0	
yes	yes	no	no	22	Wailea	NMS	HR	AW	JJ	WKB	WKB181026		Keawakapu Beach	2018-10-26	8:14	2	2	2	2	2					WKB181026	27.2	35.4	6.73	103.6	8.18	0.62	0.60	0.66	0.63	0.049				N	4	7	0	
yes	yes	no	no	22	Wailea	NMS	HR	AW	JJ	WUL	WUL181026		Ulua Beach	2018-10-26	8:34	2	2	2	2	2					WUL181026	27.1	35.3	6.73	103.3	8.16	1.77	2.10	1.72	1.86	0.111				N	9	17	0	
yes	yes	no	no	22	Wailea	NMS	HR	AW	JJ	WPL	WPL181026		Palauea Beach	2018-10-26	8:55	2	2	2	2	2					WPL181026	27.4	35.4	6.74	103.7	8.17	2.40	2.47	2.39	2.42	0.018				N	0	6	0	
yes	yes	no	no	22	Wailea	NMS	HR	AW	JJ	WPO	WPO181026		Poolenalena Beach	2018-10-26	9:11	2	2	2	2	2					WPO181026	27.7	35.4	6.68	103.5	8.19	0.81	0.92	0.88	0.87	0.064				N	3	6	1	
		no	no	23	Wailea	NMS	HR	AW	SD	WKD	WKD181116		Kilohana Dr	2018-11-16	7:53	1	1	1	1	1					WKD181116	25.9	35.1	6.36	95.3	8.15	0.79	0.77	0.86	0.81	0.059				N	0	7	0	
		no	no	23	Wailea	NMS	HR	AW	SD	WKB	WKB181116		Keawakapu Beach	2018-11-16	8:14	1	1	1	1	1					WKB181116	26.1	34.9	6.44	96.5	8.10	0.76	0.83	0.82	0.80	0.047				N	0	10	0	
		no	no	23	Wailea	NMS	HR	AW	SD	WUL	WUL181116		Ulua Beach	2018-11-16	8:33	1	1	1	1	1					WUL181116	26.4	34.9	6.47	97.7	8.13	1.57	1.38	1.77	1.57	0.124				N	1	12	0	
		no	no	23	Wailea	NMS	HR	AW	SD	WPL	WPL181116		Palauea Beach	2018-11-16	8:56	1	1	1	1	1					WPL181116	26.4	35.2	6.62	100.1	8.16	1.08	1.01	0.99	1.03	0.046				N	0	1	0	
		no	no	23	Wailea	NMS	HR	AW	SD	WPO	WPO181116		Poolenalena Beach	2018-11-16	9:10	1	1	1	1	1					WPO181116	26.6	35.2	6.61	100.6	8.18	0.63	0.60	0.93	0.72	0.253				N	0	0	0	
	yes	no	no	24	Wailea	NMS	HR	AW	JJ	WKD	WKD181207		Kilohana Dr	2018-12-07	7:50	2	2	2	2	2					WKD181207	24.9	35.4	6.80	100.2	8.18	1.08	1.36	1.17	1.20	0.119				NA	1	7	0	
	yes	no	no	24	Wailea	NMS	HR	AW	JJ	WKB	WKB181207		Keawakapu Beach	2018-12-07	8:21	2	2	2	2	2					WKB181207	25.3	35.4	6.75	100.1	8.15	0.60	0.60	0.78	0.66	0.157				NA	1	3	0	
	yes	no	no	24	Wailea	NMS	HR	AW	JJ	WUL	WUL181207		Ulua Beach	2018-12-07	8:40	2	2	2	2	2					WUL181207	25.6	35.3	6.75	100.7	8.15	1.03	0.98	0.92	0.98	0.056				NA	6	8	0	
	yes	no	no	24	Wailea	NMS	HR	AW	JJ	WPL	WPL181207		Palauea Beach	2018-12-07	9:05	2	2	2	2	2					WPL181207	25.8	35.4	6.81	101.8	8.17	0.71	0.86	0.79	0.79	0.095				NA	0	8	0	
	yes	no	no	24	Wailea	NMS	HR	AW	JJ	WPO	WPO181207		Poolenalena Beach	2018-12-07	9:22	2	2	2	2	2					WPO181207	25.9	35.3	6.84	102.3	8.20	0.43	0.43	0.39	0.42	0.055				NA	4	2	0	
		no	no	25	Wailea	NMS	SD	AW	JJ	WKD	WKD181221		Kilohana Dr	2018-12-21	7:54	1	1	1	1	1					WKD181221	24.1	35.2	6.89	99.7	8.15	0.56	0.53	0.61	0.57	0.071				NA	0	2	0	
		no	no	25	Wailea	NMS	SD	AW	JJ	WKB	WKB181221		Keawakapu Beach	2018-12-21	8:17	1	1	1	1	1					WKB181221	24.6	35.3	6.74	98.4	8.17	0.27	0.30	0.30	0.29	0.060				NA	0	5	0	
		no	no	25	Wailea	NMS	SD	AW	JJ	WUL	WUL181221		Ulua Beach	2018-12-21	8:37	1	1	1	1	1					WUL181221	24.3	35.1	6.89	100.1	8.13	0.98	0.83	0.90	0.90	0.083				NA	11	8	0	
		no	no	25	Wailea	NMS	SD	AW	JJ	WPL	WPL181221		Palauea Beach	2018-12-21	8:58	1	1	1	1	1					WPL181221	24.9	35.3	6.79	99.5	8.19	0.35	0.50	0.32	0.39	0.247				NA	0	4	0	
		no	no	25	Wailea	NMS	SD	AW	JJ	WPO	WPO181221		Poolenalena Beach	2018-12-21	9:13	1	1	1	1	1					WPO181221	25.1	35.3	6.77	99.7	8.19	0.23	0.23	0.44	0.30	0.404				NA	0	4	2	
