Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	no	38	Polanui	LLHS	MB	CM		OLP	OLP180425	2072	Launiupoko	2018-04-25	10:19	2	1	3	2	2	10	1	0	Trades	OLP180425	26.3	34.1	6.95	103.9	8.18	5.16	5.37	4.59	5.04	0.080		1	1		30	23	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours
yes	yes	yes	no	no	38	Polanui	LLHS	MB	CM		OSF	OSF180425	2027	Olowalu Pier	2018-04-25	10:50	2	1	3	2	2	10	1	0	Trades	OSF180425	26.3	33.6	7.30	108.3	8.20	3.09	2.99	2.96	3.01	0.023		0	3		1	0	0	MB sampled all 6 sites, CM sampled only OLP and OSF, No rain in last 24 hours
yes	yes	yes	no	no	39	Polanui	LLHS	JM	RB	DR	PFF	PFF180516	2022	505 Front St	2018-05-16	8:20	1	3	4	1	3	3	3	0	Still	PFF180516	25.7	34.0	6.52	96.6	8.12	3.32	2.75	3.15	3.07	0.095		0	0	1	0	0	0	Moderate flow in stream
yes	yes	yes	no	no	39	Polanui	LLHS	JM	RB	DR	PLH	PLH180516	2023	Lindsey Hale	2018-05-16	8:43	1	3	4	1	3	3	3	0	Still	PLH180516	26.5	34.1	6.77	101.6	8.07	1.09	1.24	1.18	1.17	0.065		0	0		5	7	0	storm drain not flowing. Lots of dogs on beach
yes	yes	yes	no	no	39	Polanui	LLHS	JM	RB	DR	PLT	PLT180516	2024	Lahaina Town	2018-05-16	9:03	1	3	4	1	3	3	3	0	Still	PLT180516	27.0	34.3	7.05	106.8	8.10	1.70	2.58	2.12	2.13	0.206		0	0		2	3	0	Had to walk out very far to get knee deep - 2 dogs in water
yes	yes	yes	no	no	39	Polanui	LLHS	JM	RB	DR	OLP	OLP180516	2072	Launiupoko	2018-05-16	9:33	1	3	4	1	3	3	3	0	Still	OLP180516	28.3	34.4	7.16	111.0	8.19	1.99	2.11	1.86	1.99	0.063		1	0		0	5	0	Aldo jumped in next to sampler to take pictures
yes	yes	yes	no	no	39	Polanui	LLHS	JM	RB	DR	OSF	OSF180516	2027	Olowalu Pier	2018-05-16	9:59	1	3	4	1	3	3	3	0	Still	OSF180516	27.6	34.4	7.04	107.9	8.15	3.04	3.61	3.41	3.35	0.086		0	0		0	0	0	Very low tide, hard to sample without kicking up sediment
yes	yes	yes	no	no	40	Polanui	LLHS	RB	KH		PFF	PFF180606	2022	505 Front St	2018-06-06	8:12	2	1	3	2	2	23	4	0	Still	PFF180606	26.2	33.6	6.26	93.2	8.02	2.02	2.13	2.42	2.19	0.094		0	0	1	0	11	0	light flow at PFF
yes	yes	yes	no	no	40	Polanui	LLHS	RB	KH		PLH	PLH180606	2023	Lindsey Hale	2018-06-06	8:45	2	1	3	2	2	23	4	0	Still	PLH180606	26.0	34.0	6.08	90.4	8.06	2.45	2.78	2.81	2.68	0.075		0	0		3	3	0	
yes	yes	yes	no	no	40	Polanui	LLHS	RB	KH		PLT	PLT180606	2024	Lahaina Town	2018-06-06	8:57	2	1	3	2	2	23	4	0	Still	PLT180606	26.4	34.1	6.21	93.1	8.03	1.61	1.52	1.56	1.56	0.029		0	0		14	2	0	
yes	yes	yes	no	no	40	Polanui	LLHS	RB	KH		OLP	OLP180606	2072	Launiupoko	2018-06-06	9:25	2	1	3	2	2	23	4	0	Still	OLP180606	26.6	34.3	6.77	102.1	8.12	1.25	1.30	1.35	1.30	0.038		1	1		12	3	0	
yes	yes	yes	no	no	40	Polanui	LLHS	RB	KH		OSF	OSF180606	2027	Olowalu Pier	2018-06-06	9:56	2	1	3	2	2	23	4	0	Still	OSF180606	26.4	34.2	7.21	108.1	8.08	2.14	2.20	2.04	2.13	0.038		1	2		2	2	0	
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	PFF	PFF180627	2022	505 Front St	2018-06-27	8:10	1	3	4	1	3	14	0	0	Trades	PFF180627	26.0	34.3	6.31	94.4	8.09	2.31	2.86	2.85	2.67	0.118		0	0	1	0	12	0	
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	PLH	PLH180627	2023	Lindsey Hale	2018-06-27	8:31	1	3	4	1	3	14	0	0	Trades	PLH180627	26.1	34.2	6.32	94.6	8.09	1.64	2.12	1.91	1.89	0.127		0	0		4	1	0	
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	PLT	PLT180627	2024	Lahaina Town	2018-06-27	8:59	1	3	4	1	3	14	0	0	Trades	PLT180627	26.4	34.6	6.63	101.1	8.10	2.19	2.27	2.31	2.26	0.027		0	0		0	0	0	
yes	yes	yes	no	no	41	Polanui	LLHS	RB	KH	MB	OSF	OSF180627	2027	Olowalu Pier	2018-06-27	9:30	1	3	4	1	3	14	0	0	Trades	OSF180627	26.0	34.6	6.55	98.2	8.11	4.67	4.77	5.66	5.03	0.108		0	0		0	0	0	
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	PFF	PFF180718	2022	505 Front St	2018-07-18	8:15	2	1	3	2	2	6	2	0	Trades	PFF180718	27.0	33.6	6.33	95.6	8.08	5.74	6.57	5.96	6.09	0.071		1	0	1	0	0	0	
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	PLH	PLH180718	2023	Lindsey Hale	2018-07-18	8:40	2	1	3	2	2	6	2	0	Trades	PLH180718	27.2	33.7	6.18	93.8	8.10	20.00	22.20	20.30	20.83	0.057		0	0		0	3	0	
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	PLT	PLT180718	2024	Lahaina Town	2018-07-18	9:00	2	1	3	2	2	6	2	0	Trades	PLT180718	27.4	33.9	6.05	92.3	8.13	14.10	17.80	20.30	17.40	0.179		0	0		1	0	0	
yes	yes	yes	no	no	42	Polanui	LLHS	JM	RB	KH	OSF	OSF180718	2027	Olowalu Pier	2018-07-18	9:35	2	1	3	2	2	6	3	0	Trades	OSF180718	27.3	34.3	6.80	103.7	8.15	2.20	2.93	2.19	2.44	0.174		0	1		0	1	0	
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		PFF	PFF180808	2022	505 Front St	2018-08-08	8:30	1	3	5	1	3	27	0	0	Trades	PFF180808	26.5	34.0	6.33	95.8	8.09	1.76	2.11	2.30	2.06	0.133		0	0	1	0	0	0	
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		PLH	PLH180808	2023	Lindsey Hale	2018-08-08	8:55	1	3	5	1	3	27	0	0	Trades	PLH180808	26.6	34.3	6.41	97.1	8.10	2.34	2.34	2.12	2.27	0.056		0	0		0	1	0	
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		PLT	PLT180808	2024	Lahaina Town	2018-08-08	9:19	1	3	5	1	3	27	0	0	Trades	PLT180808	26.9	34.6	6.56	100.2	8.12	2.15	2.31	2.20	2.22	0.037		0	2		1	1	0	
yes	yes	yes	no	no	43	Polanui	LLHS	JM	MB		OSF	OSF180808	2027	Olowalu Pier	2018-08-08	9:55	1	3	5	1	3	27	0	0	Trades	OSF180808	27.2	34.6	6.92	106.3	8.14	2.14	2.04	2.15	2.11	0.029		0	0		0	0	0	
yes	yes	yes	no	no	44	Polanui	LLHS	JM	KH	JS	PFF	PFF180829	2022	505 Front St	2018-08-29	8:10	2	1	6	2	2	19	0	0	Trades	PFF180829	27.5	32.5	6.10	92.3	8.09	4.06	3.90	4.38	4.11	0.059		0	0	1	0	1	0	Seal nearby
