Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	yes	34	R2RN	LLHS	BB	LH	AS	RFN	RFN180202	2003	Fleming North	2018-02-02	8:35	1	1	4	2	3	17	8	0	Kona	RFN180202	24.0	34.8	6.91	100.0	8.19	6.82	7.13	6.98	6.98	0.022		1	0	0	4	3	0	rain the night before
yes	yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RON	RON180202	2004	Oneloa Bay	2018-02-02	9:00	1	1	4	2	3	17	8	1	Kona	RON180202	24.0	34.8	6.93	100.5	8.18	0.90	0.95	0.82	0.89	0.074		2	0	0	4	1	0	rain the night before, light rain while there
yes	yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RFS	RFS180202	2005	Kapalua Bay	2018-02-02	9:30	1	1	4	2	3	17	8	0	Kona	RFS180202	24.2	34.3	6.91	100.3	8.16	1.88	1.80	1.73	1.80	0.042		1	0	0	6	50	0	rain the night before
yes	yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RKO	RKO180202	2008	Ka'opala Bay	2018-02-02	9:55	1	1	4	2	3	17	8	0	Kona	RKO180202	24.3	34.2	6.83	99.3	8.13	11.60	12.20	11.90	11.90	0.025		1	0	0	0	0	0	rain the night before, clouds clearing while there
yes	yes	yes	no	no	34	R2RN	LLHS	BB	LH	AS	RKV	RKV180202	2074	Kahana Village	2018-02-02	10:10	1	1	4	2	3	17	8	0	Kona	RKV180202	24.6	33.8	6.87	99.9	8.13	8.81	8.56	8.29	8.55	0.030		1	0	0	2	7	0	rain the night before, sun coming out while there
yes	yes	yes	no	yes	35	R2RN	LLHS	LH	CM	CH	RHL	RHL180223	2001	Honolua Bay	2018-02-23	7:50	2	3	3	2	2	8	7	0	Kona	RHL180223	23.3	33.9	6.43	91.3	8.08	24.40	28.10	24.30	25.60	0.085		0	1	0	0	0	0	rained the night before but not the day of testing
yes	yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RFN	RFN180223	2003	Fleming North	2018-02-23	8:40	2	3	3	2	2	8	7	0	Kona	RFN180223	24.0	34.4	7.06	101.7	8.15	2.28	2.39	2.51	2.39	0.048		2	0	0	2	0	0	rained the night before but not the day of testing
yes	yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RON	RON180223	2004	Oneloa Bay	2018-02-23	9:05	2	3	3	2	2	8	7	0	Kona	RON180223	24.3	34.7	7.00	101.7	8.16	0.52	0.55	0.58	0.55	0.055		2	1	0	7	3	0	rained the night before but not the day of testing
yes	yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RFS	RFS180223	2005	Kapalua Bay	2018-02-23	9:35	2	3	3	2	2	8	7	0	Kona	RFS180223	24.5	33.7	7.16	103.7	8.14	0.97	0.81	0.92	0.90	0.091		1	0	0	12	35	0	rained the night before but not the day of testing
yes	yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RKO	RKO180223	2008	Ka'opala Bay	2018-02-23	10:00	2	3	3	2	2	8	7	0	Kona	RKO180223	24.3	33.8	6.84	98.9	8.09	9.80	9.95	10.10	9.95	0.015		1	0	0	0	1	0	rained the night before but not the day of testing
yes	yes	yes	no	no	35	R2RN	LLHS	LH	CM	CH	RKV	RKV180223	2074	Kahana Village	2018-02-23	10:20	2	3	3	2	2	8	7	0	Kona	RKV180223	25.1	34.0	7.17	105.1	8.15	4.65	5.13	5.94	5.24	0.124		1	1	0	0	9	0	rained the night before but not the day of testing
yes	yes	yes	no	yes	36	R2RN	LLHS	DR	BR	CH	RHL	RHL180316	2001	Honolua Bay	2018-03-16	7:48	2	1	3	2	2	1	0	1	Kona	RHL180316	23.4	33.5	6.09	86.5	8.10	10.10	10.00	10.50	10.20	0.026		0	0	2	0	2	0	moderate to light stream flow
yes	yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RFN	RFN180316	2003	Fleming North	2018-03-16	8:35	2	1	3	2	2	1	0	1	Kona	RFN180316	24.2	34.6	6.94	100.4	8.17	1.53	1.51	1.53	1.52	0.008		2	0	0	1	3	0	no stream flow
yes	yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RON	RON180316	2004	Oneloa Bay	2018-03-16	9:05	2	1	3	2	2	1	0	1	Kona	RON180316	24.7	34.7	7.09	103.7	8.18	0.48	0.42	0.44	0.45	0.068		1	0		8	15	0	water very clear
yes	yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RFS	RFS180316	2005	Kapalua Bay	2018-03-16	9:35	2	1	3	2	2	1	0	1	Kona	RFS180316	25.1	32.2	7.14	103.4	8.14	1.04	1.17	1.16	1.12	0.064		0	0		50	50	0	lots of people within sampling vicinity
yes	yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RKO	RKO180316	2008	Ka'opala Bay	2018-03-16	10:01	2	1	3	2	2	1	1	1	Kona	RKO180316	25.3	33.4	6.69	98.1	8.10	7.25	6.89	6.98	7.04	0.027		1	0		5	2	0	started clouding over
yes	yes	yes	no	no	36	R2RN	LLHS	DR	BR	CH	RKV	RKV180316	2074	Kahana Village	2018-03-16	10:25	2	1	3	2	2	1	1	1	Kona	RKV180316	25.8	33.6	6.82	100.8	8.13	4.21	4.16	4.20	4.19	0.006		0	1		1	9	0	clouding over
yes	yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RHL	RHL180406	2001	Honolua Bay	2018-04-06	7:50	1	3	4	1	3	21	8	1	Trades	RHL180406	23.8	34.4	6.54	92.9	8.19	3.22	3.10	2.94	3.09	0.046		0	0	1	2	2	0	rain in last 24 hours, light rain while testing, car testing area wet, stream flowing but not sure how much from data sheet
yes	yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RFN	RFN180406	2003	Fleming North	2018-04-06	8:30	1	3	4	1	3	21	8	1	Trades	RFN180406	24.3	34.0	6.96	100.5	8.17	5.90	5.67	6.82	6.13	0.099		1	3	0	0	0	0	rain in last 24 hours, light rain while testing, car testing area wet, stream not flowing, leaves in water
yes	yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RON	RON180406	2004	Oneloa Bay	2018-04-06	9:05	1	3	4	1	3	21	8	1	Trades	RON180406	24.5	34.4	6.98	101.7	8.19	0.67	0.52	0.46	0.55	0.197		2	6		0	6	0	rain in last 24 hours, light rain while testing, car testing area wet
yes	yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RFS	RFS180406	2005	Kapalua Bay	2018-04-06	9:30	1	3	4	1	3	21	8	1	Trades	RFS180406	25.0	32.1	6.76	98.0	8.12	0.88	0.91	0.77	0.85	0.086		0	3		15	45	0	rain in last 24 hours, mist while testing, car testing area wet
yes	yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RKO	RKO180406	2008	Ka'opala Bay	2018-04-06	9:50	1	3	4	1	3	21		0	Trades	RKO180406	25.6	34.2	6.04	89.4	8.11	3.89	3.46	3.33	3.56	0.082		0	1	0	0	0	0	rain in last 24 hours, sunny while testing, stream not flowing, amount of cloud cover unknown
yes	yes	yes	no	no	37	R2RN	LLHS	BB	AS	LH	RKV	RKV180406	2074	Kahana Village	2018-04-06	10:10	1	3	4	1	3	21		0	Trades	RKV180406	25.7	33.8	6.75	99.8	8.13	1.13	1.31	1.33	1.26	0.088		0	2		0	0	0	rain in last 24 hours, sunny while testing, amount of cloud cover unknown
