Copied to main database by Kim 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RON	RON171027	2004	Oneloa Bay	2017-10-27	9:20	2	3	3	1	2	8	1	1	Trades	RON171027	27.0	35.0	6.79	104.1	8.18	1.22	1.28	1.33	1.28	0.043		3	1		2	15	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RFS	RFS171027	2005	Kapalua Bay	2017-10-27	9:53	2	3	3	1	2	8	1	1	Trades	RFS171027	26.7	34.8	6.99	106.6	8.21	2.91	2.60	2.37	2.63	0.103		1	1		33	60	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKO	RKO171027	2008	Ka'opala Bay	2017-10-27	10:23	2	3	3	1	2	8	1	1	Trades	RKO171027	25.9	34.3	6.84	102.6	8.13	26.60	27.00	26.10	26.57	0.017		2	1	0	0	0	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, lots of wood debris in water
yes	yes	no	no	29	R2RN	LLHS	BB	AS	LH	RKV	RKV171027	2074	Kahana Village	2017-10-27	10:46	2	3	3	1	2	8	1	1	Trades	RKV171027	27.4	35.0	6.83	105.1	8.23	11.60	10.80	11.70	11.37	0.043		2	1	0	0	7	0	huge rain storm Mon night (10/23) with thunder, ligtning, winds - power outages all over Maui, was water in stream bed though no stream flow while taking sample but ocean mixed a little with stream water at mouth of stream
	yes	no	yes	30	R2RN	LLHS	BB	AS	LH	RHL	RHL171117	2001	Honolua Bay	2017-11-17	7:58	1	1	4	2	3	29	8	4	Trades	RHL171117	24.3	30.6	6.39	90.9	8.15	20.90	21.10	21.50				0	0	2	1	1	0	Honolua sampling during heavy rain, stream flowing into ocean, double rainbox within the bay, saw bark, leaves, and large particles in otherwise clear water - may have caused the high NTU numbers
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RFN	RFN171117	2003	Fleming North	2017-11-17	8:40	1	1	4	2	3	29	2	1	Trades	RFN171117	25.7	34.4	6.71	99.7	8.15	1.35	1.73	1.67				4	0	1	4	3	0	small flow from stream into ocean
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RON	RON171117	2004	Oneloa Bay	2017-11-17	9:15	1	1	4	2	3	29	2	1	Trades	RON171117	26.0	35.0	6.66	100.2	8.19	0.65	0.65	0.69				3	2		1	0	0	
	yes	yes	no	30	R2RN	LLHS	BB	AS	LH	RFS	RFS171117	2005	Kapalua Bay	2017-11-17	9:50	1	1	4	2	3	29	2	0	Trades	RFS171117	26.3	34.1	6.86	103.1	8.16	2.77	2.66	2.27				1	1		40	62	0	
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKO	RKO171117	2008	Ka'opala Bay	2017-11-17	10:15	1	1	4	2	3	29	2	0	Trades	RKO171117	25.3	34.0	6.81	100.5	8.16	17.30	16.70	17.20				1	0	0	0	2	0	RKO no water coming out of pipe
	yes	no	no	30	R2RN	LLHS	BB	AS	LH	RKV	RKV171117	2074	Kahana Village	2017-11-17	10:38	1	1	4	2	3	29	2	0	Trades	RKV171117	26.4	35.0	7.09	107.2	8.28	7.27	6.83	6.90				1	1		0	4	0	RKV waves irregular, turbulent but not that large, rocks exposed at about 1 foot underwater made for difficult footing even with reef shoes
	yes	no	yes	31	R2RN	LLHS	BB	AS	LH	RHL	RHL171208	2001	Honolua Bay	2017-12-08	7:50	2	3	3	1	2	21	0	0	Trades	RHL171208	23.2	34.5	6.78	96.2	8.14	23.90	28.50	25.20				1	0	1	0	0	0	very high tide when sampling, surf breaking outside reef
	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RFN	RFN171208	2003	Fleming North	2017-12-08	8:40	2	3	3	1	2	21	0	0	Trades	RFN171208	24.7	35.1	6.95	101.6	8.18	1.41	1.71	1.54				3	0	0	2	5	0	very high tide when sampling
	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RON	RON171208	2004	Oneloa Bay	2017-12-08	9:15	2	3	3	1	2	21	0	0	Trades	RON171208	25.1	35.1	6.91	101.8	8.18	0.59	0.69	0.64				3	1		3	6	0	very high tide when sampling
	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RFS	RFS171208	2005	Kapalua Bay	2017-12-08	9:45	2	3	3	1	2	21	0	0	Trades	RFS171208	25.4	35.1	7.03	104.0	8.19	1.17	1.60	1.45				1	1		36	60	0	very high tide when sampling
	yes	yes	no	31	R2RN	LLHS	BB	AS	LH	RKO	RKO171208	2008	Ka'opala Bay	2017-12-08	10:10	2	3	3	1	2	21	0	0	Trades	RKO171208	24.7	34.6	6.99	102.0	8.19	14.60	15.80	15.60				2	1		0	0	0	very high tide when sampling
	yes	no	no	31	R2RN	LLHS	BB	AS	LH	RKV	RKV171208	2074	Kahana Village	2017-12-08	10:35	2	3	3	1	2	21	0	0	Trades	RKV171208	25.5	34.8	6.96	102.9	8.22	21.50	20.60	21.40				2	0		0	1	0	very high tide when sampling, little bait fish school 5 feet from sample site
	yes	no	yes	32	R2RN	LLHS	DR	BB	LH	RHL	RHL171222	2001	Honolua Bay	2017-12-22	7:59	1	1	4	2	3	6	8	4	Trades	RHL171222	22.6	28.5	7.04	96.1	8.17	21.20	21.30	20.00				1	1	3	0	2	0	moderate stream flow/mud, lots of organic matter from stream - organic smell
	yes	no	yes	32	R2RN	LLHS	DR	BB	LH	RFN	RFN171222	2003	Fleming North	2017-12-22	8:42	1	1	4	2	3	6	8	4	Trades	RFN171222	23.4	33.9	6.98	99.5	8.17	7.26	7.37	7.55				3	4	1	0	0	0	both streams flowing lightly, BIG waves, strong NE wind
	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RON	RON171222	2004	Oneloa Bay	2017-12-22	9:17	1	1	4	2	3	6	8	4	Trades	RON171222	24.0	35.1	6.93	100.7	8.19	4.55	4.11	4.26				2	3		0	0	0	dirtiest Dana has ever seen in this bay, lots of detritus in the water
	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RFS	RFS171222	2005	Kapalua Bay	2017-12-22	9:50	1	1	4	2	3	6	8	4	Trades	RFS171222	24.5	34.7	6.95	101.8	8.18	3.12	3.49	3.53				2	3		13	50	0	noticed detritus floating on water near shore, first turbidity reading 3.12
	yes	no	no	32	R2RN	LLHS	DR	BB	LH	RKO	RKO171222	2008	Ka'opala Bay	2017-12-22	10:18	1	1	4	2	3	6	8	4	Trades	RKO171222	23.4	33.9	6.93	99.1	8.14	36.40	35.90	36.20				2	1	0	0	2	0	very muddy, stream does not appear to be flowing now but definitely has been flowing last 2 days
	yes	yes	no	32	R2RN	LLHS	DR	BB	LH	RKV	RKV171222	2074	Kahana Village	2017-12-22	10:43	1	1	4	2	3	6	8	4	Trades	RKV171222	24.3	33.7	7.18	103.9	8.19	16.50	17.00	16.60				3	1		0	0	0	lost bucket, Bruce got cut, rocks to blame. Moved spot to southmost entry. Discharged about 10 ml of 0.2 um filter into N-2 bottle by mistake. Rest went into N-1 bottle. Discharged 55 ml 0.7 um filter into N-2 bottle. Wrote an accident report on Bruce's injury.
	yes	no	yes	33	R2RN	LLHS	BB	LH	AS	RHL	RHL180112	2001	Honolua Bay	2018-01-12	7:55	2	3	3	1	2	26	0	0	Trades	RHL180112	22.8	33.1	6.82	95.4	8.07	59.60	65.30	68.80				1	0	2	0	0	0	stream flowing, outside surf
	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RFN	RFN180112	2003	Fleming North	2018-01-12	8:45	2	3	3	1	2	26	0	0	Trades	RFN180112	24.0	34.3	7.04	101.3	8.16	3.27	4.44	3.68				3	0		0	0	0	
	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RON	RON180112	2004	Oneloa Bay	2018-01-12	9:15	2	3	3	1	2	26	0	0	Trades	RON180112	24.5	34.7	7.02	102.4	8.17	1.04	1.00	1.17				3	1		0	4	0	
	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RFS	RFS180112	2005	Kapalua Bay	2018-01-12	9:40	2	3	3	1	2	26	0	0	Trades	RFS180112	24.8	33.9	7.04	102.6	8.16	2.83	2.41	2.57				1	1		6	14	0	outside surf, foam inside bay
	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RKO	RKO180112	2008	Ka'opala Bay	2018-01-12	10:10	2	3	3	1	2	26	0	0	Trades	RKO180112	24.4	33.8	6.99	101.1	8.15	16.80	17.70	18.60				1	1		0	0	0	outside surf
	yes	no	no	33	R2RN	LLHS	BB	LH	AS	RKV	RKV180112	2074	Kahana Village	2018-01-12	10:30	2	3	3	1	2	26	0	0	Trades	RKV180112	25.4	34.5	7.20	106.3	8.23	7.79	9.47	8.58				1	1		4	14	0	dogs on beach, outside surf
