Copied to main database by Kim 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2020	Canoe Beach	08/22/17	9:22											deg C	ppt	mg/L	%					Do not enter here - calculated			0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	29	R2RS	LLHS	TF	CM		RAB	RAB171024	2017	Airport Beach	2017-10-24	9:35	2	3	3	1	2	5	2	4	Kona	RAB171024	27.0	33.6	6.57	99.8	8.18	1.81	1.78	1.66	1.75	0.045		0	1		9	21	0	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui, no rain while taking sample
yes	yes	no	no	29	R2RS	LLHS	TF	CM		RCB	RCB171024	2020	Canoe Beach	2017-10-24	9:57	2	3	3	1	2	5	7	4	Kona	RCB171024	26.9	33.2	6.68	101.1	8.17	9.88	9.97	9.81	9.89	0.008		1	0		0	2	0	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui, light rain while taking sample, one dog noted on beach
yes	yes	no	no	29	R2RS	LLHS	TF	CM		RWA	RWA171024	2021	Wahikuli	2017-10-24	10:20	2	3	3	1	2	5	8	4	Kona	RWA171024	26.9	33.1	6.67	100.9	8.19	6.20	5.87	7.69	6.59	0.147		1	1		0	0	2	huge rain storm last night with thunder, ligtning, winds - power outages all over Maui, no rain while taking sample (not in data sheet CM)
	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RNS	RNS171114	2006	Napili Bay	2017-11-14	8:16	1	1	4	2	3	26	1	1	Trades	RNS171114	26.0	34.9	6.71	100.8	8.16	1.15	1.08	1.20				2	0		0	10	0	at Napili Bay sampled 20 yards north of usual testing site because of the shore break, misty rain while sampling
	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RPO	RPO171114	2010	Pohaku	2017-11-14	8:45	1	1	4	2	3	26	1	1	Trades	RPO171114	25.9	32.2	6.77	99.7	8.17	8.73	8.62	9.81				2	0		10	2	0	at Pohaku gave 4 cards to man who said he signed up on web site, may want to volunteer. will put up at Kahana, Napili, Canoe Beach - misty rain while sampling
	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RKS	RKS171114	2071	Kaanapali Shores	2017-11-14	9:10	1	1	4	2	3	26	1	0	Trades	RKS171114	26.1	34.8	6.73	101.0	8.18	2.84	2.70	2.83				2	1		3	15	0	
	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RAB	RAB171114	2017	Airport Beach	2017-11-14	9:29	1	1	4	2	3	26	1	0	Trades	RAB171114	26.5	34.5	6.61	99.7	8.17	2.87	2.68	2.36				1	2		20	20	0	
	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RCB	RCB171114	2020	Canoe Beach	2017-11-14	9:49	1	1	4	2	3	26	1	0	Trades	RCB171114	27.1	34.1	6.44	98.0	8.18	4.21	3.50	3.36				1	3		10	0	0	Canoe Beach warning sign dated 11/2/17
	yes	no	no	30	R2RS	LLHS	TF	MS	BJ	RWA	RWA171114	2021	Wahikuli	2017-11-14	10:04	1	1	4	2	3	26	1	0	Trades	RWA171114	27.2	34.5	6.50	99.2	8.20	1.27	1.20	1.15				1	4		6	3	0	
	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RNS	RNS171205	2006	Napili Bay	2017-12-05	8:06	2	3	3	1	2	18	4	1	Trades	RNS171205	24.2	35.2	6.89	100.0	8.17	1.04	1.14	1.08				2	3		1	1	0	
	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RPO	RPO171205	2010	Pohaku	2017-12-05	8:31	2	3	3	1	2	18	4	1	Trades	RPO171205	23.5	34.5	6.96	99.3	8.17	31.10	31.80	32.60				1	2		0	0	0	brown water, lots of limu on rocks
	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RKS	RKS171205	2071	Kaanapali Shores	2017-12-05	8:52	2	3	3	1	2	18	4	1	Trades	RKS171205	23.5	34.0	7.01	99.8	8.17	10.10	9.83	10.40				2	3		0	0	0	no beach, brown water
	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RAB	RAB171205	2017	Airport Beach	2017-12-05	9:13	2	3	3	1	2	18	4	1	Trades	RAB171205	24.5	34.5	6.82	99.0	8.18	6.41	6.78	6.52				1	4		0	6	0	
	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RCB	RCB171205	2020	Canoe Beach	2017-12-05	9:33	2	3	3	1	2	18	4	1	Trades	RCB171205	25.5	34.4	6.84	101.0	8.20	2.13	2.10	2.27				1	4		0	3	0	
	yes	no	no	31	R2RS	LLHS	TF	BJ	DR	RWA	RWA171205	2021	Wahikuli	2017-12-05	9:51	2	3	3	1	2	18	4	1	Trades	RWA171205	25.1	33.8	6.83	100.0	8.23	1.55	1.57	1.58				1	4		0	0	0	
	yes	no	no	32	R2RS	LLHS	DR	TF		RNS	RNS171219	2006	Napili Bay	2017-12-19	8:21	1	1	4	2	3	3	8	1	Kona	RNS171219	24.8	35.2	6.72	98.9	8.16	1.15	1.28	1.08				2	0		2	3	0	upon return to lab replaced batteries in HQ40D meter
	yes	no	no	32	R2RS	LLHS	DR	TF		RPO	RPO171219	2010	Pohaku	2017-12-19	8:55	1	1	4	2	3	3	8	1	Kona	RPO171219	24.8	34.0	6.74	98.7	8.16	24.50	23.50	22.20				1	0		0	2	0	brown plume, 2 fishermen, upon return to lab replaced batteries in HQ40D meter
	yes	no	no	32	R2RS	LLHS	DR	TF		RKS	RKS171219	2071	Kaanapali Shores	2017-12-19	9:21	1	1	4	2	3	3	8	1	Kona	RKS171219	24.9	34.9	6.68	98.4	8.18	26.20	25.50	24.90				1	0		0	0	0	brown close to shore, upon return to lab replaced batteries in HQ40D meter
	yes	no	no	32	R2RS	LLHS	DR	TF		RAB	RAB171219	2017	Airport Beach	2017-12-19	9:46	1	1	4	2	3	3	8	1	Kona	RAB171219	25.1	34.8	6.46	95.4	8.18	5.57	5.00	4.46				1	0		3	1	0	upon return to lab replaced batteries in HQ40D meter
	yes	no	no	32	R2RS	LLHS	DR	TF		RCB	RCB171219	2020	Canoe Beach	2017-12-19	10:10	1	1	4	2	3	3	8	1	Kona	RCB171219	25.2	34.2	6.64	97.9	8.20	2.03	1.96	2.13				0	0		1	6	0	lots of fishermen, upon return to lab replaced batteries in HQ40D meter
	yes	no	no	32	R2RS	LLHS	DR	TF		RWA	RWA171219	2021	Wahikuli	2017-12-19	10:30	1	1	4	2	3	3	8	1	Kona	RWA171219	24.9	33.1	6.74	98.5	8.21	1.35	1.15	1.14				0	1		0	0	0	upon return to lab replaced batteries in HQ40D meter
	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RNS	RNS180109	2006	Napili Bay	2018-01-09	8:15	2	3	3	1	2	23	0	0	Trades	RNS180109	23.6	34.0	6.95	99.3	8.10	0.60	0.55	0.50				1	0		3	2	0	
	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RPO	RPO180109	2010	Pohaku	2018-01-09	8:47	2	3	3	1	2	23	0	0	Trades	RPO180109	24.1	33.9	6.80	97.6	8.16	2.32	2.60	2.42				1	0		12	3	0	
	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RKS	RKS180109	2071	Kaanapali Shores	2018-01-09	9:09	2	3	3	1	2	23	0	0	Trades	RKS180109	23.7	34.5	6.97	99.8	8.15	11.90	12.70	12.60				1	0		0	4	0	lots of beach erosion
	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RAB	RAB180109	2017	Airport Beach	2018-01-09	9:26	2	3	3	1	2	23	0	0	Trades	RAB180109	24.8	34.2	6.64	96.8	8.17	1.38	1.32	1.56				0	0		6	20	0	
	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RCB	RCB180109	2020	Canoe Beach	2018-01-09	9:46	2	3	3	1	2	23	0	0	Trades	RCB180109	25.0	34.4	6.74	98.7	8.18	7.32	8.02	7.62				1	0		7	18	0	
	yes	no	no	33	R2RS	LLHS	TF	MS	BJ	RWA	RWA180109	2021	Wahikuli	2018-01-09	10:03	2	3	3	1	2	23	0	0	Trades	RWA180109	24.9	33.5	6.99	101.6	8.20	1.98	2.06	2.02				2	1		4	1	0	
